Trade ID,Price,Quantity,First Trade ID,Last Trade ID,Time
626515212,708.31000000,0.02800000,915450633,915450633,1736091990905
626515213,708.31000000,0.70500000,915450634,915450634,1736091991568
626515214,708.30000000,0.05000000,915450635,915450635,1736091991713
626515215,708.31000000,0.14200000,915450636,915450636,1736091991901
626515216,708.31000000,0.03100000,915450637,915450639,1736091992323
626515217,708.32000000,0.21300000,915450640,915450644,1736091992408
626515218,708.33000000,0.01700000,915450645,915450646,1736091992408
626515219,708.34000000,0.01700000,915450647,915450648,1736091992408
626515220,708.35000000,0.01700000,915450649,915450650,1736091992408
626515221,708.36000000,0.01700000,915450651,915450652,1736091992408
626515222,708.37000000,0.00800000,915450653,915450653,1736091992408
626515223,708.37000000,1.09200000,915450654,915450654,1736091992416
626515224,708.37000000,0.03900000,915450655,915450655,1736091992674
626515225,708.38000000,0.10100000,915450656,915450656,1736091992867
626515226,708.37000000,0.03000000,915450657,915450657,1736091993113
626515227,708.37000000,0.03400000,915450658,915450658,1736091993814
626515228,708.37000000,0.09500000,915450659,915450659,1736091995431
626515229,708.38000000,0.02000000,915450660,915450660,1736091996025
626515230,708.38000000,0.01600000,915450661,915450661,1736091996025
626515231,708.38000000,0.01500000,915450662,915450662,1736091996066
626515232,708.38000000,0.54000000,915450663,915450663,1736091996548
626515233,708.38000000,0.00800000,915450664,915450664,1736091996670
626515234,708.38000000,0.04200000,915450665,915450665,1736091997265
626515235,708.38000000,0.02700000,915450666,915450666,1736091998395
626515236,708.37000000,1.40000000,915450667,915450667,1736091998866
626515237,708.37000000,0.01400000,915450668,915450668,1736091999026
626515238,708.38000000,0.01400000,915450669,915450669,1736092000374
626515239,708.37000000,0.06300000,915450670,915450670,1736092001184
626515240,708.37000000,0.90000000,915450671,915450671,1736092001634
626515241,708.37000000,0.01600000,915450672,915450672,1736092002116
626515242,708.37000000,0.13700000,915450673,915450673,1736092003516
626515243,708.38000000,0.02800000,915450674,915450674,1736092003956
626515244,708.38000000,0.03400000,915450675,915450675,1736092004196
626515245,708.37000000,0.03500000,915450676,915450676,1736092004585
626515246,708.37000000,0.01500000,915450677,915450677,1736092004757
626515247,708.38000000,0.01400000,915450678,915450678,1736092005243
626515248,708.37000000,0.56400000,915450679,915450679,1736092005498
626515249,708.37000000,0.04200000,915450680,915450680,1736092005841
626515250,708.37000000,0.03000000,915450681,915450681,1736092006418
626515251,708.37000000,0.07300000,915450682,915450682,1736092007448
626515252,708.37000000,0.01400000,915450683,915450684,1736092007647
626515253,708.38000000,0.01400000,915450685,915450686,1736092008762
626515254,708.38000000,0.84700000,915450687,915450687,1736092013008
626515255,708.38000000,0.07700000,915450688,915450691,1736092013763
626515256,708.38000000,0.01200000,915450692,915450692,1736092013763
626515257,708.38000000,0.63200000,915450693,915450693,1736092013765
626515258,708.39000000,0.01700000,915450694,915450695,1736092013766
626515259,708.39000000,0.04500000,915450696,915450696,1736092017301
626515260,708.40000000,0.03800000,915450697,915450699,1736092018189
626515261,708.39000000,0.03000000,915450700,915450700,1736092019168
626515262,708.40000000,0.00800000,915450701,915450702,1736092019293
626515263,708.40000000,2.96500000,915450703,915450709,1736092019314
626515264,708.40000000,2.76800000,915450710,915450713,1736092019455
626515265,708.40000000,0.01700000,915450714,915450715,1736092019995
626515266,708.41000000,0.01700000,915450716,915450717,1736092019995
626515267,708.42000000,0.01700000,915450718,915450719,1736092019995
626515268,708.43000000,0.06900000,915450720,915450722,1736092019995
626515269,708.42000000,0.02700000,915450723,915450723,1736092020617
626515270,708.42000000,0.02800000,915450724,915450724,1736092021030
626515271,708.42000000,0.17600000,915450725,915450725,1736092021381
626515272,708.42000000,0.11300000,915450726,915450726,1736092021530
626515273,708.43000000,0.01400000,915450727,915450727,1736092021575
626515274,708.43000000,0.01400000,915450728,915450728,1736092022711
626515275,708.43000000,0.02000000,915450729,915450729,1736092023034
626515276,708.43000000,0.05400000,915450730,915450730,1736092023321
626515277,708.42000000,0.08500000,915450731,915450731,1736092023421
626515278,708.42000000,0.35900000,915450732,915450732,1736092023595
626515279,708.43000000,0.34600000,915450733,915450736,1736092024539
626515280,708.42000000,0.01400000,915450737,915450737,1736092024705
626515281,708.42000000,0.01100000,915450738,915450738,1736092025076
626515282,708.43000000,0.01700000,915450739,915450740,1736092025457
626515283,708.43000000,0.34500000,915450741,915450741,1736092026710
626515284,708.43000000,0.09600000,915450742,915450742,1736092027099
626515285,708.43000000,0.01300000,915450743,915450743,1736092027757
626515286,708.44000000,2.19500000,915450744,915450748,1736092028284
626515287,708.43000000,0.01300000,915450749,915450749,1736092028482
626515288,708.44000000,0.00900000,915450750,915450750,1736092029053
626515289,708.43000000,0.04600000,915450751,915450751,1736092029199
626515290,708.43000000,0.13000000,915450752,915450752,1736092029428
626515291,708.43000000,0.01000000,915450753,915450753,1736092033642
626515292,708.43000000,0.01000000,915450754,915450754,1736092034621
626515293,708.44000000,0.01700000,915450755,915450756,1736092035116
626515294,708.45000000,0.01700000,915450757,915450758,1736092035120
626515295,708.44000000,0.01400000,915450759,915450759,1736092035821
626515296,708.45000000,0.01400000,915450760,915450761,1736092035832
626515297,708.45000000,0.00900000,915450762,915450763,1736092036689
626515298,708.46000000,0.01700000,915450764,915450765,1736092036689
626515299,708.47000000,0.00200000,915450766,915450766,1736092036689
626515300,708.47000000,0.01500000,915450767,915450768,1736092036694
626515301,708.48000000,0.05400000,915450769,915450772,1736092036694
626515302,708.49000000,0.01700000,915450773,915450774,1736092036694
626515303,708.50000000,0.03700000,915450775,915450776,1736092036694
626515304,708.50000000,3.90700000,915450777,915450780,1736092037047
626515305,708.51000000,0.01700000,915450781,915450782,1736092037242
626515306,708.52000000,0.01700000,915450783,915450784,1736092037242
626515307,708.53000000,0.01700000,915450785,915450786,1736092037408
626515308,708.54000000,0.01700000,915450787,915450788,1736092037408
626515309,708.55000000,0.01700000,915450789,915450790,1736092037408
626515310,708.56000000,0.05700000,915450791,915450793,1736092037408
626515311,708.57000000,0.73700000,915450794,915450797,1736092037408
626515312,708.58000000,0.00800000,915450798,915450798,1736092037408
626515313,708.59000000,0.00800000,915450799,915450799,1736092037408
626515314,708.60000000,3.59400000,915450800,915450802,1736092038373
626515315,708.60000000,4.00000000,915450803,915450803,1736092038373
626515316,708.60000000,1.98700000,915450804,915450807,1736092038373
626515317,708.63000000,0.03300000,915450808,915450808,1736092038435
626515318,708.62000000,0.03200000,915450809,915450809,1736092039227
626515319,708.63000000,0.01400000,915450810,915450810,1736092039590
626515320,708.62000000,0.11800000,915450811,915450811,1736092040188
626515321,708.63000000,0.20000000,915450812,915450812,1736092041034
626515322,708.62000000,0.01000000,915450813,915450813,1736092041766
626515323,708.62000000,0.00900000,915450814,915450814,1736092042075
626515324,708.63000000,0.02100000,915450815,915450815,1736092042841
626515325,708.63000000,0.02500000,915450816,915450816,1736092042935
626515326,708.63000000,0.02400000,915450817,915450819,1736092043458
626515327,708.64000000,0.01700000,915450820,915450821,1736092043458
626515328,708.65000000,0.01700000,915450822,915450823,1736092043458
626515329,708.66000000,0.01700000,915450824,915450825,1736092043458
626515330,708.67000000,0.01700000,915450826,915450827,1736092043458
626515331,708.68000000,0.00800000,915450828,915450828,1736092043458
626515332,708.69000000,0.72800000,915450829,915450831,1736092043458
626515333,708.70000000,0.37000000,915450832,915450832,1736092043458
626515334,708.69000000,0.02700000,915450833,915450833,1736092043632
626515335,708.69000000,1.41100000,915450834,915450834,1736092043857
626515336,708.69000000,0.01000000,915450835,915450835,1736092044326
626515337,708.70000000,0.00800000,915450836,915450836,1736092044682
626515338,708.69000000,0.02100000,915450837,915450837,1736092044892
626515339,708.69000000,0.11400000,915450838,915450838,1736092045117
626515340,708.70000000,2.80800000,915450839,915450841,1736092046269
626515341,708.69000000,0.07200000,915450842,915450842,1736092046428
626515342,708.69000000,0.01700000,915450843,915450843,1736092049131
626515343,708.69000000,0.07500000,915450844,915450844,1736092049951
626515344,708.69000000,0.01600000,915450845,915450845,1736092050568
626515345,708.69000000,0.03100000,915450846,915450846,1736092050621
626515346,708.69000000,0.02000000,915450847,915450847,1736092050781
626515347,708.69000000,0.08100000,915450848,915450848,1736092051181
626515348,708.69000000,0.62100000,915450849,915450849,1736092051200
626515349,708.69000000,0.13100000,915450850,915450850,1736092052544
626515350,708.70000000,0.04800000,915450851,915450851,1736092052785
626515351,708.70000000,0.39800000,915450852,915450852,1736092052785
626515352,708.69000000,0.01400000,915450853,915450853,1736092052814
626515353,708.69000000,0.04400000,915450854,915450854,1736092053881
626515354,708.69000000,0.03100000,915450855,915450855,1736092054015
626515355,708.69000000,0.11100000,915450856,915450856,1736092054396
