Trade ID,Price,Quantity,First Trade ID,Last Trade ID,Time
3362730858,98052.51000000,0.00020000,4370404314,4370404315,1736092363620
3362730859,98052.42000000,0.00022000,4370404316,4370404316,1736092363620
3362730860,98052.26000000,0.01529000,4370404317,4370404319,1736092363637
3362730861,98051.81000000,0.00020000,4370404320,4370404321,1736092363637
3362730862,98051.26000000,0.01020000,4370404322,4370404324,1736092363637
3362730863,98051.21000000,0.00020000,4370404325,4370404326,1736092363637
3362730864,98051.14000000,0.00020000,4370404327,4370404328,1736092363637
3362730865,98050.24000000,0.00031000,4370404329,4370404331,1736092363637
3362730866,98050.23000000,0.00020000,4370404332,4370404333,1736092363641
3362730867,98049.89000000,0.00020000,4370404334,4370404335,1736092363641
3362730868,98049.78000000,0.00020000,4370404336,4370404337,1736092363641
3362730869,98049.64000000,0.00020000,4370404338,4370404339,1736092363641
3362730870,98049.14000000,0.00020000,4370404340,4370404341,1736092363641
3362730871,98049.00000000,0.00020000,4370404342,4370404343,1736092363641
3362730872,98048.87000000,0.01020000,4370404344,4370404346,1736092363716
3362730873,98048.85000000,0.00020000,4370404347,4370404348,1736092363716
3362730874,98048.65000000,0.00434000,4370404349,4370404351,1736092363716
3362730875,98048.64000000,0.00569000,4370404352,4370404356,1736092363716
3362730876,98048.61000000,0.01040000,4370404357,4370404359,1736092363716
3362730877,98048.43000000,0.00051000,4370404360,4370404360,1736092363717
3362730878,98048.43000000,0.00117000,4370404361,4370404362,1736092363927
3362730879,98048.44000000,0.00015000,4370404363,4370404363,1736092365143
3362730880,98048.43000000,0.00019000,4370404364,4370404364,1736092365795
3362730881,98048.44000000,0.00245000,4370404365,4370404365,1736092366002
3362730882,98048.44000000,0.00022000,4370404366,4370404366,1736092366528
3362730883,98048.43000000,0.00090000,4370404367,4370404367,1736092367218
3362730884,98048.44000000,0.00509000,4370404368,4370404368,1736092367267
3362730885,98048.43000000,0.00007000,4370404369,4370404369,1736092367863
3362730886,98048.44000000,0.00463000,4370404370,4370404370,1736092368033
3362730887,98048.44000000,0.00028000,4370404371,4370404371,1736092368103
3362730888,98048.44000000,0.00039000,4370404372,4370404372,1736092368592
3362730889,98048.43000000,0.00129000,4370404373,4370404373,1736092368987
3362730890,98048.43000000,0.00030000,4370404374,4370404374,1736092369118
3362730891,98048.44000000,0.00019000,4370404375,4370404375,1736092369445
3362730892,98048.44000000,0.28540000,4370404376,4370404378,1736092369749
3362730893,98048.44000000,0.00028000,4370404379,4370404379,1736092369788
3362730894,98048.44000000,0.00211000,4370404380,4370404380,1736092370129
3362730895,98048.44000000,0.00019000,4370404381,4370404381,1736092370492
3362730896,98048.43000000,0.00016000,4370404382,4370404382,1736092372908
3362730897,98048.43000000,0.00876000,4370404383,4370404383,1736092372912
3362730898,98048.44000000,0.00050000,4370404384,4370404384,1736092373496
3362730899,98048.44000000,0.00152000,4370404385,4370404385,1736092374092
3362730900,98048.43000000,0.01019000,4370404386,4370404386,1736092375083
3362730901,98048.43000000,0.00011000,4370404387,4370404387,1736092375764
3362730902,98048.44000000,0.00049000,4370404388,4370404388,1736092376120
3362730903,98048.44000000,0.00008000,4370404389,4370404389,1736092376364
3362730904,98048.43000000,0.01006000,4370404390,4370404390,1736092376487
3362730905,98048.44000000,0.00740000,4370404391,4370404391,1736092376658
3362730906,98048.44000000,0.00009000,4370404392,4370404392,1736092376676
3362730907,98048.43000000,0.00107000,4370404393,4370404393,1736092376833
3362730908,98048.44000000,0.00015000,4370404394,4370404394,1736092377416
3362730909,98048.44000000,0.00016000,4370404395,4370404395,1736092377528
3362730910,98048.43000000,0.02724000,4370404396,4370404396,1736092378419
3362730911,98048.44000000,0.00052000,4370404397,4370404397,1736092379444
3362730912,98048.44000000,0.00028000,4370404398,4370404398,1736092379947
3362730913,98048.43000000,0.00093000,4370404399,4370404399,1736092380033
