Trade ID,Price,Quantity,First Trade ID,Last Trade ID,Time
35828928,1562.00000000,2.91770000,57780890,57780892,1736086141789
35828929,1561.00000000,1.28910000,57780893,57780893,1736086146712
35828930,1561.00000000,1.14040000,57780894,57780895,1736086146714
35828931,1560.00000000,0.02880000,57780896,57780896,1736086160768
35828932,1560.00000000,0.10000000,57780897,57780897,1736086163543
35828933,1560.00000000,0.16900000,57780898,57780898,1736086165417
35828934,1560.00000000,0.64850000,57780899,57780899,1736086165419
35828935,1560.00000000,0.33500000,57780900,57780900,1736086165806
35828936,1560.00000000,1.11120000,57780901,57780909,1736086166145
35828937,1559.00000000,0.10000000,57780910,57780911,1736086166145
35828938,1559.00000000,0.13320000,57780912,57780916,1736086166365
35828939,1559.00000000,0.94040000,57780917,57780919,1736086167033
35828940,1559.00000000,0.42900000,57780920,57780920,1736086167033
35828941,1559.00000000,0.40000000,57780921,57780921,1736086167033
35828942,1559.00000000,0.26740000,57780922,57780922,1736086167034
35828943,1559.00000000,0.20000000,57780923,57780923,1736086169257
35828944,1559.00000000,1.09770000,57780924,57780929,1736086169290
35828945,1559.00000000,0.13100000,57780930,57780930,1736086173434
35828946,1560.00000000,0.00760000,57780931,57780931,1736086175376
35828947,1560.00000000,0.20000000,57780932,57780932,1736086176914
35828948,1559.00000000,0.23780000,57780933,57780934,1736086177942
35828949,1560.00000000,0.05000000,57780935,57780935,1736086178443
35828950,1559.00000000,0.00380000,57780936,57780936,1736086179687
35828951,1560.00000000,0.03300000,57780937,57780937,1736086181583
35828952,1559.00000000,0.01550000,57780938,57780938,1736086182809
35828953,1560.00000000,0.20000000,57780939,57780939,1736086184657
35828954,1560.00000000,0.00790000,57780940,57780940,1736086194007
35828955,1559.00000000,0.76190000,57780941,57780942,1736086196547
35828956,1559.00000000,0.75350000,57780943,57780943,1736086196549
35828957,1559.00000000,1.50800000,57780944,57780972,1736086198695
35828958,1559.00000000,0.40060000,57780973,57780977,1736086198696
35828959,1559.00000000,0.07130000,57780978,57780978,1736086198696
35828960,1559.00000000,0.05250000,57780979,57780979,1736086198696
35828961,1559.00000000,0.06910000,57780980,57780983,1736086198696
35828962,1559.00000000,0.31180000,57780984,57780998,1736086198697
35828963,1560.00000000,0.30000000,57780999,57780999,1736086198698
35828964,1560.00000000,0.17000000,57781000,57781000,1736086198710
35828965,1559.00000000,0.00420000,57781001,57781001,1736086203289
35828966,1559.00000000,0.00620000,57781002,57781002,1736086204779
35828967,1559.00000000,0.20000000,57781003,57781003,1736086208320
35828968,1558.00000000,0.66000000,57781004,57781008,1736086215028
35828969,1558.00000000,0.19200000,57781009,57781009,1736086215030
35828970,1558.00000000,0.39830000,57781010,57781010,1736086215081
35828971,1559.00000000,0.20000000,57781011,57781011,1736086216067
35828972,1558.00000000,0.92080000,57781012,57781012,1736086223308
35828973,1557.00000000,0.16000000,57781013,57781014,1736086225111
35828974,1558.00000000,0.20000000,57781015,57781015,1736086231540
35828975,1558.00000000,0.83970000,57781016,57781021,1736086231548
35828976,1559.00000000,0.30000000,57781022,57781023,1736086231567
35828977,1558.00000000,0.52670000,57781024,57781026,1736086239143
35828978,1559.00000000,0.08300000,57781027,57781027,1736086239153
35828979,1558.00000000,0.28100000,57781028,57781029,1736086246011
35828980,1559.00000000,0.25650000,57781030,57781030,1736086248068
35828981,1559.00000000,0.12930000,57781031,57781031,1736086261205
35828982,1559.00000000,1.47460000,57781032,57781032,1736086267390
35828983,1558.00000000,0.09620000,57781033,57781033,1736086305982
35828984,1558.00000000,0.20000000,57781034,57781035,1736086311302
35828985,1558.00000000,0.20000000,57781036,57781039,1736086319142
35828986,1558.00000000,0.02050000,57781040,57781040,1736086324915
35828987,1558.00000000,0.20000000,57781041,57781041,1736086326859
35828988,1558.00000000,0.19360000,57781042,57781044,1736086339838
35828989,1559.00000000,0.22900000,57781045,57781045,1736086339918
35828990,1559.00000000,0.45270000,57781046,57781048,1736086343164
35828991,1560.00000000,0.00970000,57781049,57781049,1736086343492
35828992,1560.00000000,0.00970000,57781050,57781050,1736086343647
35828993,1560.00000000,0.01280000,57781051,57781051,1736086343786
35828994,1559.00000000,0.35140000,57781052,57781053,1736086363099
35828995,1559.00000000,0.75400000,57781054,57781054,1736086372549
35828996,1559.00000000,0.84990000,57781055,57781055,1736086372551
35828997,1558.00000000,0.00710000,57781056,57781056,1736086400927
35828998,1557.00000000,0.49260000,57781057,57781058,1736086412572
35828999,1557.00000000,0.01230000,57781059,57781059,1736086412581
35829000,1558.00000000,1.50800000,57781060,57781062,1736086426553
35829001,1558.00000000,0.29030000,57781063,57781063,1736086426553
35829002,1558.00000000,0.43070000,57781064,57781064,1736086426555
35829003,1558.00000000,0.74250000,57781065,57781065,1736086426555
35829004,1558.00000000,0.29400000,57781066,57781066,1736086426555
35829005,1558.00000000,1.21400000,57781067,57781067,1736086426555
35829006,1558.00000000,0.22940000,57781068,57781068,1736086426556
35829007,1558.00000000,1.48500000,57781069,57781069,1736086426557
35829008,1558.00000000,3.89450000,57781070,57781072,1736086426559
35829009,1558.00000000,1.50800000,57781073,57781074,1736086435237
35829010,1558.00000000,0.12280000,57781075,57781075,1736086435242
35829011,1558.00000000,0.22210000,57781076,57781076,1736086477627
35829012,1558.00000000,1.60500000,57781077,57781077,1736086500889
35829013,1557.00000000,0.00890000,57781078,57781078,1736086505688
35829014,1557.00000000,0.03140000,57781079,57781079,1736086517056
35829015,1557.00000000,0.01390000,57781080,57781080,1736086518766
35829016,1557.00000000,0.10350000,57781081,57781081,1736086522593
35829017,1557.00000000,2.59600000,57781082,57781084,1736086529313
35829018,1556.00000000,0.10950000,57781085,57781086,1736086529313
35829019,1556.00000000,0.10430000,57781087,57781087,1736086557925
35829020,1556.00000000,0.53270000,57781088,57781088,1736086558232
35829021,1556.00000000,0.10000000,57781089,57781089,1736086559571
35829022,1556.00000000,0.01630000,57781090,57781090,1736086559624
35829023,1556.00000000,0.00690000,57781091,57781091,1736086560017
35829024,1556.00000000,0.10000000,57781092,57781092,1736086561167
35829025,1557.00000000,0.00770000,57781093,57781093,1736086588135
35829026,1556.00000000,1.50800000,57781094,57781095,1736086610228
35829027,1556.00000000,0.40990000,57781096,57781099,1736086610250
35829028,1555.00000000,0.58740000,57781100,57781102,1736086614263
35829029,1555.00000000,1.50800000,57781103,57781107,1736086614264
35829030,1555.00000000,0.05610000,57781108,57781108,1736086614264
35829031,1555.00000000,0.01870000,57781109,57781109,1736086614265
35829032,1555.00000000,0.03860000,57781110,57781110,1736086614268
35829033,1555.00000000,0.12510000,57781111,57781111,1736086614279
35829034,1555.00000000,0.09410000,57781112,57781112,1736086614284
35829035,1555.00000000,0.16740000,57781113,57781113,1736086614304
35829036,1555.00000000,0.14550000,57781114,57781114,1736086614317
35829037,1555.00000000,0.04130000,57781115,57781115,1736086614321
35829038,1555.00000000,0.16080000,57781116,57781116,1736086614369
35829039,1555.00000000,2.10880000,57781117,57781118,1736086614395
35829040,1555.00000000,3.61070000,57781119,57781122,1736086614395
35829041,1555.00000000,0.03680000,57781123,57781123,1736086615011
35829042,1555.00000000,0.03690000,57781124,57781124,1736086616588
35829043,1555.00000000,0.25460000,57781125,57781127,1736086619902
35829044,1555.00000000,0.15480000,57781128,57781129,1736086633340
35829045,1555.00000000,0.61030000,57781130,57781132,1736086638048
35829046,1555.00000000,3.00050000,57781133,57781158,1736086639490
35829047,1554.00000000,1.04440000,57781159,57781162,1736086649711
35829048,1554.00000000,0.32340000,57781163,57781163,1736086649711
35829049,1554.00000000,1.00760000,57781164,57781164,1736086649711
35829050,1553.00000000,0.56730000,57781165,57781167,1736086649711
35829051,1553.00000000,2.87570000,57781168,57781179,1736086649711
35829052,1553.00000000,0.10000000,57781180,57781180,1736086649713
35829053,1553.00000000,0.27500000,57781181,57781181,1736086649713
35829054,1553.00000000,0.69200000,57781182,57781182,1736086649713
35829055,1553.00000000,0.12950000,57781183,57781183,1736086649713
35829056,1552.00000000,0.53550000,57781184,57781192,1736086649713
35829057,1552.00000000,0.66500000,57781193,57781196,1736086649713
35829058,1552.00000000,0.84700000,57781197,57781197,1736086649714
35829059,1552.00000000,0.66500000,57781198,57781200,1736086649714
35829060,1553.00000000,0.24180000,57781201,57781201,1736086649716
35829061,1552.00000000,0.25680000,57781202,57781202,1736086649717
35829062,1553.00000000,0.24180000,57781203,57781203,1736086649717
35829063,1552.00000000,0.64300000,57781204,57781205,1736086649719
35829064,1553.00000000,0.67620000,57781206,57781207,1736086649749
35829065,1553.00000000,0.01050000,57781208,57781208,1736086649750
35829066,1553.00000000,0.03860000,57781209,57781209,1736086649751
35829067,1553.00000000,0.17930000,57781210,57781211,1736086649752
35829068,1553.00000000,0.04600000,57781212,57781212,1736086649752
35829069,1553.00000000,0.01690000,57781213,57781213,1736086649753
35829070,1553.00000000,1.32780000,57781214,57781221,1736086649753
35829071,1553.00000000,0.20840000,57781222,57781223,1736086649756
35829072,1552.00000000,0.17060000,57781224,57781224,1736086649756
35829073,1553.00000000,0.23000000,57781225,57781225,1736086649756
35829074,1552.00000000,0.39300000,57781226,57781226,1736086649757
