Trade ID,Price,Quantity,First Trade ID,Last Trade ID,Time
6383133,3837.02000000,0.10000000,6842472,6842472,1736089192650
6383134,3837.01000000,0.16200000,6842473,6842473,1736089192650
6383135,3836.66000000,0.10000000,6842474,6842474,1736089192650
6383136,3836.65000000,0.20890000,6842475,6842475,1736089192650
6383137,3836.62000000,0.00620000,6842476,6842476,1736089192650
6383138,3836.62000000,0.15580000,6842477,6842477,1736089192651
6383139,3835.01000000,0.15690000,6842478,6842478,1736089192651
6383140,3836.58000000,0.14110000,6842479,6842479,1736089200356
6383141,3836.58000000,0.45890000,6842480,6842480,1736089200357
6383142,3834.61000000,0.31280000,6842481,6842481,1736089200430
6383143,3836.72000000,0.02760000,6842482,6842482,1736089202319
6383144,3836.72000000,0.02540000,6842483,6842483,1736089202327
6383145,3836.72000000,0.02540000,6842484,6842484,1736089202340
6383146,3836.72000000,0.01570000,6842485,6842485,1736089202845
6383147,3839.69000000,0.00280000,6842486,6842486,1736089232168
6383148,3840.24000000,0.00250000,6842487,6842487,1736089270561
6383149,3840.25000000,0.00630000,6842488,6842488,1736089270561
6383150,3840.61000000,0.04700000,6842489,6842489,1736089273127
6383151,3840.62000000,0.15850000,6842490,6842490,1736089273127
6383152,3840.62000000,0.61450000,6842491,6842491,1736089273129
6383153,3840.62000000,1.22700000,6842492,6842492,1736089273130
6383154,3841.65000000,0.06270000,6842493,6842493,1736089273136
6383155,3841.65000000,0.78090000,6842494,6842497,1736089273141
6383156,3841.65000000,0.60000000,6842498,6842498,1736089273145
6383157,3840.99000000,0.16200000,6842499,6842499,1736089273145
6383158,3840.61000000,0.01890000,6842500,6842500,1736089273145
6383159,3841.65000000,0.31240000,6842501,6842501,1736089273151
6383160,3841.65000000,0.02820000,6842502,6842502,1736089273152
6383161,3841.65000000,0.60000000,6842503,6842503,1736089273154
6383162,3841.26000000,0.16200000,6842504,6842504,1736089273154
6383163,3840.61000000,0.01890000,6842505,6842505,1736089273154
6383164,3841.44000000,0.00570000,6842506,6842506,1736089282453
6383165,3841.91000000,0.00570000,6842507,6842507,1736089283868
6383166,3841.44000000,0.18330000,6842508,6842509,1736089292110
6383167,3841.44000000,0.11900000,6842510,6842510,1736089292112
6383168,3840.00000000,0.02870000,6842511,6842511,1736089292119
6383169,3840.82000000,0.06770000,6842512,6842512,1736089346712
6383170,3840.82000000,0.02290000,6842513,6842513,1736089346712
6383171,3842.37000000,0.02790000,6842514,6842514,1736089369796
