Trade ID,Price,Quantity,First Trade ID,Last Trade ID,Time
13477985,97281.74000000,0.00040000,13779383,13779383,1736087315827
13477986,97283.25000000,0.00010000,13779384,13779384,1736087315830
13477987,97281.74000000,0.00010000,13779385,13779385,1736087315833
13477988,97283.11000000,0.00010000,13779386,13779386,1736087315933
13477989,97281.74000000,0.00010000,13779387,13779387,1736087315937
13477990,97283.35000000,0.00010000,13779388,13779388,1736087316332
13477991,97281.08000000,0.00052000,13779389,13779389,1736087316773
13477992,97281.08000000,0.00210000,13779390,13779390,1736087316776
13477993,97281.08000000,0.00020000,13779391,13779391,1736087316778
13477994,97283.26000000,0.00010000,13779392,13779392,1736087317829
13477995,97277.86000000,0.00010000,13779393,13779393,1736087320292
13477996,97288.25000000,0.00010000,13779394,13779394,1736087320630
13477997,97293.91000000,0.00010000,13779395,13779395,1736087321030
13477998,97293.92000000,0.00010000,13779396,13779396,1736087321032
13477999,97293.91000000,0.00010000,13779397,13779397,1736087321034
13478000,97293.92000000,0.00010000,13779398,13779398,1736087321036
13478001,97293.91000000,0.00010000,13779399,13779399,1736087321038
13478002,97305.54000000,0.00010000,13779400,13779400,1736087321259
13478003,97304.52000000,0.00010000,13779401,13779401,1736087321261
13478004,97305.53000000,0.00010000,13779402,13779402,1736087321271
13478005,97305.52000000,0.00010000,13779403,13779403,1736087321327
13478006,97301.94000000,0.00110000,13779404,13779404,1736087321760
13478007,97305.24000000,0.00020000,13779405,13779405,1736087322320
13478008,97302.90000000,0.00010000,13779406,13779406,1736087322427
13478009,97305.24000000,0.00050000,13779407,13779407,1736087323313
13478010,97302.45000000,0.00010000,13779408,13779408,1736087323494
13478011,97301.36000000,0.00010000,13779409,13779409,1736087323750
13478012,97294.28000000,0.00036000,13779410,13779410,1736087326930
13478013,97284.16000000,0.00180000,13779411,13779411,1736087326932
13478014,97284.17000000,0.00030000,13779412,13779412,1736087326933
13478015,97284.17000000,0.00180000,13779413,13779413,1736087326933
13478016,97293.90000000,0.00210000,13779414,13779414,1736087326988
13478017,97293.91000000,0.00210000,13779415,13779415,1736087327005
13478018,97293.92000000,0.00210000,13779416,13779416,1736087327007
13478019,97289.03000000,0.00210000,13779417,13779417,1736087327096
13478020,97300.26000000,0.00110000,13779418,13779418,1736087327407
13478021,97303.31000000,0.00210000,13779419,13779419,1736087327730
13478022,97303.31000000,0.00122000,13779420,13779420,1736087327732
13478023,97299.17000000,0.00300000,13779421,13779421,1736087328829
13478024,97289.76000000,0.00070000,13779422,13779422,1736087330931
13478025,97287.93000000,0.00070000,13779423,13779423,1736087331885
13478026,97289.04000000,0.00200000,13779424,13779424,1736087333860
13478027,97289.05000000,0.00200000,13779425,13779425,1736087336030
13478028,97307.27000000,0.00210000,13779426,13779426,1736087341461
13478029,97307.28000000,0.00210000,13779427,13779427,1736087341463
13478030,97322.48000000,0.00120000,13779428,13779428,1736087343287
13478031,97312.87000000,0.00210000,13779429,13779429,1736087347538
13478032,97304.64000000,0.02383000,13779430,13779430,1736087356534
13478033,97304.64000000,0.00210000,13779431,13779431,1736087356535
13478034,97304.64000000,0.01277000,13779432,13779432,1736087356541
13478035,97289.45000000,0.01870000,13779433,13779433,1736087383030
13478036,97294.80000000,0.00150000,13779434,13779434,1736087385330
13478037,97299.68000000,0.00210000,13779435,13779435,1736087385927
13478038,97296.78000000,0.00101000,13779436,13779436,1736087387290
13478039,97295.99000000,0.00050000,13779437,13779437,1736087388748
13478040,97295.99000000,0.00002000,13779438,13779438,1736087388750
13478041,97290.20000000,0.00053000,13779439,13779439,1736087388755
13478042,97287.77000000,0.00080000,13779440,13779440,1736087388756
13478043,97294.77000000,0.00010000,13779441,13779441,1736087389551
13478044,97294.76000000,0.00290000,13779442,13779442,1736087389828
13478045,97294.65000000,0.00100000,13779443,13779443,1736087390827
13478046,97279.43000000,0.00010000,13779444,13779444,1736087391271
13478047,97282.82000000,0.00227000,13779445,13779445,1736087392330
13478048,97286.52000000,0.00170000,13779446,13779446,1736087392332
13478049,97283.79000000,0.00030000,13779447,13779447,1736087396037
13478050,97288.49000000,0.00010000,13779448,13779448,1736087396630
13478051,97289.12000000,0.00060000,13779449,13779449,1736087397829
13478052,97270.72000000,0.00210000,13779450,13779450,1736087400291
13478053,97270.73000000,0.00070000,13779451,13779451,1736087400300
13478054,97247.45000000,0.00462000,13779452,13779452,1736087401239
