Trade ID,Price,Quantity,First Trade ID,Last Trade ID,Time
74973929,8655.00000000,0.00083000,85425438,85425438,1736087011601
74973930,8657.00000000,0.02000000,85425439,85425439,1736087025822
74973931,8662.00000000,0.08660000,85425440,85425440,1736087029208
74973932,8663.00000000,0.00087000,85425441,85425441,1736087029208
74973933,8663.00000000,0.06915000,85425442,85425442,1736087029210
74973934,8663.00000000,0.34338000,85425443,85425443,1736087030640
74973935,8655.00000000,0.00154000,85425444,85425444,1736087056932
74973936,8655.00000000,0.00116000,85425445,85425445,1736087066142
74973937,8657.00000000,0.04200000,85425446,85425447,1736087070464
74973938,8656.00000000,0.01382000,85425448,85425448,1736087070464
74973939,8659.00000000,0.00079000,85425449,85425449,1736087071246
74973940,8660.00000000,0.00953000,85425450,85425450,1736087072007
74973941,8655.00000000,0.00300000,85425451,85425451,1736087074814
74973942,8659.00000000,0.03500000,85425452,85425453,1736087080200
74973943,8660.00000000,0.05540000,85425454,85425456,1736087080200
74973944,8660.00000000,0.05845000,85425457,85425457,1736087080203
74973945,8661.00000000,0.08662000,85425458,85425458,1736087083504
74973946,8661.00000000,0.11338000,85425459,85425459,1736087088433
74973947,8660.00000000,0.00480000,85425460,85425460,1736087090044
74973948,8660.00000000,0.04635000,85425461,85425461,1736087090044
74973949,8659.00000000,0.00948000,85425462,85425462,1736087090045
74973950,8659.00000000,0.01175000,85425463,85425463,1736087090046
74973951,8659.00000000,0.01986000,85425464,85425464,1736087090049
74973952,8659.00000000,0.02000000,85425465,85425465,1736087090051
74973953,8659.00000000,0.13891000,85425466,85425466,1736087090052
74973954,8654.00000000,0.03405000,85425467,85425468,1736087092719
74973955,8655.00000000,0.07396000,85425469,85425471,1736087092719
74973956,8656.00000000,0.06987000,85425472,85425475,1736087092719
74973957,8657.00000000,0.02212000,85425476,85425476,1736087092719
74973958,8656.00000000,0.02000000,85425477,85425477,1736087099038
74973959,8665.00000000,0.00082000,85425478,85425478,1736087125083
74973960,8672.00000000,0.02310000,85425479,85425481,1736087135387
74973961,8673.00000000,0.02000000,85425482,85425482,1736087159238
74973962,8675.00000000,0.03737000,85425483,85425487,1736087163422
74973963,8680.00000000,0.00076000,85425488,85425488,1736087166420
74973964,8681.00000000,0.00069000,85425489,85425489,1736087166420
74973965,8682.00000000,0.00085000,85425490,85425490,1736087166420
74973966,8681.00000000,0.00116000,85425491,85425491,1736087179886
74973967,8675.00000000,0.00082000,85425492,85425492,1736087184437
74973968,8676.00000000,0.00266000,85425493,85425493,1736087196455
74973969,8674.00000000,0.00500000,85425494,85425495,1736087240282
74973970,8675.00000000,0.02000000,85425496,85425496,1736087240304
74973971,8675.00000000,0.00082000,85425497,85425497,1736087244431
74973972,8673.00000000,0.01587000,85425498,85425499,1736087262601
74973973,8672.00000000,0.04121000,85425500,85425501,1736087262709
74973974,8671.00000000,0.01538000,85425502,85425503,1736087262710
74973975,8671.00000000,0.03336000,85425504,85425504,1736087262710
74973976,8671.00000000,0.01839000,85425505,85425505,1736087262713
74973977,8670.00000000,0.02000000,85425506,85425506,1736087262732
74973978,8674.00000000,0.04800000,85425507,85425508,1736087289592
74973979,8673.00000000,0.03534000,85425509,85425510,1736087289592
74973980,8672.00000000,0.07718000,85425511,85425514,1736087291592
74973981,8671.00000000,0.00615000,85425515,85425515,1736087291592
74973982,8670.00000000,0.04287000,85425516,85425518,1736087292593
74973983,8669.00000000,0.04046000,85425519,85425521,1736087292593
74973984,8670.00000000,0.00083000,85425522,85425522,1736087305251
74973985,8675.00000000,0.00079000,85425523,85425523,1736087364520
74973986,8662.00000000,0.00082000,85425524,85425524,1736087424439
74973987,8656.00000000,0.02000000,85425525,85425525,1736087433669
74973988,8658.00000000,0.05721000,85425526,85425528,1736087435032
74973989,8656.00000000,0.05400000,85425529,85425530,1736087435572
74973990,8655.00000000,0.02706000,85425531,85425531,1736087442327
74973991,8655.00000000,0.00150000,85425532,85425532,1736087449792
74973992,8658.00000000,0.00277000,85425533,85425533,1736087453487
74973993,8658.00000000,0.01723000,85425534,85425534,1736087454715
74973994,8658.00000000,0.00133000,85425535,85425535,1736087467227
74973995,8658.00000000,0.02000000,85425536,85425536,1736087469797
74973996,8658.00000000,0.02900000,85425537,85425538,1736087471818
74973997,8657.00000000,0.02208000,85425539,85425539,1736087472132
74973998,8658.00000000,0.22824000,85425540,85425540,1736087472141
74973999,8658.00000000,0.02050000,85425541,85425541,1736087472150
74974000,8658.00000000,0.09950000,85425542,85425542,1736087472151
74974001,8658.00000000,0.05150000,85425543,85425543,1736087472152
74974002,8658.00000000,0.01398000,85425544,85425544,1736087472152
74974003,8658.00000000,0.04050000,85425545,85425545,1736087472155
74974004,8658.00000000,0.13373000,85425546,85425546,1736087472166
74974005,8662.00000000,0.10000000,85425547,85425547,1736087480959
74974006,8661.00000000,0.06900000,85425548,85425553,1736087481465
74974007,8662.00000000,0.03100000,85425554,85425555,1736087481465
74974008,8660.00000000,0.00133000,85425556,85425556,1736087483186
74974009,8659.00000000,0.01155000,85425557,85425557,1736087483799
74974010,8660.00000000,0.00079000,85425558,85425558,1736087484519
74974011,8660.00000000,0.03046000,85425559,85425559,1736087484632
74974012,8666.00000000,0.05400000,85425560,85425561,1736087519912
74974013,8667.00000000,0.09353000,85425562,85425565,1736087519912
74974014,8668.00000000,0.10655000,85425566,85425567,1736087519912
74974015,8668.00000000,0.12012000,85425568,85425568,1736087519915
74974016,8668.00000000,0.12580000,85425569,85425569,1736087521058
74974017,8668.00000000,0.00082000,85425570,85425570,1736087544514
74974018,8665.00000000,0.15463000,85425571,85425571,1736087545605
74974019,8665.00000000,0.01350000,85425572,85425572,1736087545624
74974020,8665.00000000,0.00900000,85425573,85425573,1736087545672
74974021,8662.00000000,0.00180000,85425574,85425574,1736087557393
74974022,8662.00000000,0.21547000,85425575,85425575,1736087570849
74974023,8662.00000000,0.04980000,85425576,85425576,1736087570851
74974024,8662.00000000,0.08620000,85425577,85425577,1736087570851
74974025,8662.00000000,0.14673000,85425578,85425578,1736087570851
74974026,8660.00000000,0.00316000,85425579,85425579,1736087577568
74974027,8661.00000000,0.08862000,85425580,85425580,1736087584468
74974028,8666.00000000,0.01175000,85425581,85425581,1736087590057
74974029,8666.00000000,0.03256000,85425582,85425582,1736087590059
74974030,8668.00000000,0.02169000,85425583,85425583,1736087602623
74974031,8668.00000000,0.00046000,85425584,85425584,1736087602624
74974032,8675.00000000,0.00082000,85425585,85425585,1736087604785
74974033,8671.00000000,0.03432000,85425586,85425586,1736087616187
74974034,8670.00000000,0.03599000,85425587,85425588,1736087616197
74974035,8670.00000000,0.01500000,85425589,85425589,1736087616231
74974036,8670.00000000,0.00558000,85425590,85425590,1736087621631
74974037,8665.00000000,0.00279000,85425591,85425591,1736087644116
74974038,8667.00000000,0.00270000,85425592,85425592,1736087648634
74974039,8668.00000000,0.00081000,85425593,85425593,1736087664514
74974040,8668.00000000,0.04926000,85425594,85425595,1736087665867
74974041,8669.00000000,0.01770000,85425596,85425596,1736087675101
74974042,8665.00000000,0.04287000,85425597,85425599,1736087680737
74974043,8664.00000000,0.01600000,85425600,85425602,1736087680737
74974044,8667.00000000,0.05010000,85425603,85425604,1736087701846
74974045,8666.00000000,0.06287000,85425605,85425608,1736087701846
74974046,8665.00000000,0.06143000,85425609,85425611,1736087701846
74974047,8665.00000000,0.10000000,85425612,85425612,1736087702512
74974048,8665.00000000,0.10518000,85425613,85425613,1736087709182
74974049,8665.00000000,0.03060000,85425614,85425614,1736087709182
74974050,8665.00000000,0.03744000,85425615,85425615,1736087709182
74974051,8667.00000000,0.01256000,85425616,85425616,1736087709182
74974052,8674.00000000,0.00081000,85425617,85425617,1736087724517
74974053,8676.00000000,0.01728000,85425618,85425618,1736087734534
74974054,8684.00000000,0.20048000,85425619,85425624,1736087743519
74974055,8685.00000000,0.15284000,85425625,85425625,1736087744334
74974056,8685.00000000,0.13385000,85425626,85425626,1736087744337
74974057,8685.00000000,0.10078000,85425627,85425627,1736087744339
74974058,8685.00000000,0.01300000,85425628,85425628,1736087751545
74974059,8685.00000000,0.02700000,85425629,85425629,1736087751546
74974060,8685.00000000,0.08100000,85425630,85425630,1736087751546
74974061,8685.00000000,0.04050000,85425631,85425631,1736087751547
74974062,8685.00000000,0.01700000,85425632,85425632,1736087751549
