Symbol,24h Volume,24h High,24h Low,Last Price,Price Change (%)
BTCUSDT,782552631.75323550,98778.43000000,97276.79000000,98007.58000000,0.032
ETHUSDT,691677468.44171800,3675.25000000,3592.06000000,3630.42000000,-0.102
WBTCUSDT,4360758.55594260,98529.50000000,97107.70000000,97799.61000000,0.049
SOLUSDT,446845002.82152000,219.05000000,211.61000000,213.73000000,-0.909
BNBUSDT,95075092.19672000,717.11000000,702.51000000,707.89000000,-1.160
WBETHUSDT,14702535.05233900,3888.99000000,3796.36000000,3845.01000000,-0.035
YFIUSDT,2991315.84707000,8987.00000000,8638.00000000,8779.00000000,-1.878
TAOUSDT,39900255.20088000,576.00000000,547.70000000,560.50000000,-2.369
AAVEUSDT,46548651.89132000,358.38000000,340.47000000,344.35000000,-2.602
MKRUSDT,6277134.39030000,1632.00000000,1551.00000000,1569.00000000,-3.327
