Type,Price,Quantity
Bid,343.63000000,1.74400000
Bid,343.61000000,1.34400000
Bid,343.60000000,0.02100000
Bid,343.59000000,0.02200000
Bid,343.58000000,0.39900000
Bid,343.57000000,1.29600000
Bid,343.56000000,0.42100000
Bid,343.55000000,1.54900000
Bid,343.54000000,6.55200000
Bid,343.53000000,3.29000000
Bid,343.52000000,1.99700000
Bid,343.51000000,1.47900000
Bid,343.50000000,1.52300000
Bid,343.48000000,3.29400000
Bid,343.47000000,8.60600000
Bid,343.46000000,10.31100000
Bid,343.45000000,29.95600000
Bid,343.44000000,2.81400000
Bid,343.43000000,5.56600000
Bid,343.42000000,2.58200000
Bid,343.41000000,3.66100000
Bid,343.40000000,2.14300000
Bid,343.39000000,1.48400000
Bid,343.38000000,18.72700000
Bid,343.37000000,2.46700000
Bid,343.36000000,60.98600000
Bid,343.35000000,0.02200000
Bid,343.34000000,0.58100000
Bid,343.33000000,1.48400000
Bid,343.32000000,6.02300000
Bid,343.31000000,11.86300000
Bid,343.30000000,8.90400000
Bid,343.29000000,1.54000000
Bid,343.28000000,30.00800000
Bid,343.27000000,12.04000000
Bid,343.26000000,54.01700000
Bid,343.25000000,15.84300000
Bid,343.24000000,30.92400000
Bid,343.23000000,12.97400000
Bid,343.21000000,8.68900000
Bid,343.20000000,0.96700000
Bid,343.19000000,10.03900000
Bid,343.18000000,21.99400000
Bid,343.17000000,38.70900000
Bid,343.16000000,7.64300000
Bid,343.14000000,0.02200000
Bid,343.13000000,1.49400000
Bid,343.11000000,0.94500000
Bid,343.09000000,1.49600000
Bid,343.07000000,0.94500000
Bid,343.06000000,1.51800000
Bid,343.04000000,2.86200000
Bid,343.03000000,1.49600000
Bid,343.02000000,0.94500000
Bid,343.01000000,1.49700000
Bid,343.00000000,5.00000000
Bid,342.99000000,22.09200000
Bid,342.98000000,2.13200000
Bid,342.97000000,2.69700000
Bid,342.96000000,1.49700000
Bid,342.95000000,2.51800000
Bid,342.94000000,8.79600000
Bid,342.93000000,0.94500000
Bid,342.90000000,1.18700000
Bid,342.89000000,16.51800000
Bid,342.88000000,17.44000000
Bid,342.87000000,52.58000000
Bid,342.86000000,1.76000000
Bid,342.85000000,4.83100000
Bid,342.84000000,6.69300000
Bid,342.83000000,16.78900000
Bid,342.82000000,11.63100000
Bid,342.81000000,13.27300000
Bid,342.80000000,10.99100000
Bid,342.79000000,23.99500000
Bid,342.78000000,3.57200000
Bid,342.75000000,1.52000000
Bid,342.74000000,2.68600000
Bid,342.72000000,1.52000000
Bid,342.71000000,8.89700000
Bid,342.69000000,1.77000000
Bid,342.68000000,23.67300000
Bid,342.67000000,2.72600000
Bid,342.66000000,1.47400000
Bid,342.64000000,7.27500000
Bid,342.62000000,2.71700000
Bid,342.61000000,1.18800000
Bid,342.58000000,0.04000000
Bid,342.57000000,0.87000000
Bid,342.55000000,7.42100000
Bid,342.54000000,1.18900000
Bid,342.53000000,8.54800000
Bid,342.51000000,0.12000000
Bid,342.50000000,0.13200000
Bid,342.47000000,1.19000000
Bid,342.46000000,6.17600000
Bid,342.45000000,0.87000000
Bid,342.44000000,1.90500000
Bid,342.43000000,8.91100000
Bid,342.41000000,8.85100000
Ask,343.64000000,0.94500000
Ask,343.65000000,2.74100000
Ask,343.66000000,0.94500000
Ask,343.68000000,0.42100000
Ask,343.70000000,1.35600000
Ask,343.71000000,1.34700000
Ask,343.72000000,0.14500000
Ask,343.73000000,1.33900000
Ask,343.74000000,2.02700000
Ask,343.75000000,4.44000000
Ask,343.76000000,0.90600000
Ask,343.77000000,0.02200000
Ask,343.78000000,0.94500000
Ask,343.80000000,0.68200000
Ask,343.81000000,1.18600000
Ask,343.82000000,3.37000000
Ask,343.83000000,2.46300000
Ask,343.84000000,8.24100000
Ask,343.85000000,8.54800000
Ask,343.86000000,0.02200000
Ask,343.87000000,2.34600000
Ask,343.88000000,11.23100000
Ask,343.89000000,4.88700000
Ask,343.90000000,7.34200000
Ask,343.91000000,24.13800000
Ask,343.92000000,0.19600000
Ask,343.94000000,1.19000000
Ask,343.95000000,1.00600000
Ask,343.96000000,4.76700000
Ask,343.97000000,15.86700000
Ask,343.98000000,16.01800000
Ask,343.99000000,10.07700000
Ask,344.00000000,13.76500000
Ask,344.01000000,15.31900000
Ask,344.02000000,12.93900000
Ask,344.03000000,15.87900000
Ask,344.04000000,31.93900000
Ask,344.05000000,13.85100000
Ask,344.06000000,38.30300000
Ask,344.07000000,66.51600000
Ask,344.08000000,10.11100000
Ask,344.09000000,4.31400000
Ask,344.10000000,26.23900000
Ask,344.11000000,11.93800000
Ask,344.12000000,5.06600000
Ask,344.13000000,24.88700000
Ask,344.14000000,7.88900000
Ask,344.15000000,1.86000000
Ask,344.16000000,7.19900000
Ask,344.17000000,11.45400000
Ask,344.18000000,14.79800000
Ask,344.19000000,5.22200000
Ask,344.20000000,7.37400000
Ask,344.21000000,13.39800000
Ask,344.23000000,10.69900000
Ask,344.24000000,8.55400000
Ask,344.25000000,0.87000000
Ask,344.26000000,12.96600000
Ask,344.27000000,5.53300000
Ask,344.28000000,8.00000000
Ask,344.29000000,7.32000000
Ask,344.30000000,0.48600000
Ask,344.31000000,20.21900000
Ask,344.32000000,0.02100000
Ask,344.33000000,26.91100000
Ask,344.34000000,9.49900000
Ask,344.35000000,8.44400000
Ask,344.37000000,5.22600000
Ask,344.40000000,4.27600000
Ask,344.41000000,16.14600000
Ask,344.42000000,7.49900000
Ask,344.43000000,1.81500000
Ask,344.44000000,1.19000000
Ask,344.45000000,0.51900000
Ask,344.46000000,0.02200000
Ask,344.47000000,20.54600000
Ask,344.48000000,0.15500000
Ask,344.49000000,0.05200000
Ask,344.50000000,7.49800000
Ask,344.51000000,31.42000000
Ask,344.54000000,7.42400000
Ask,344.55000000,0.94500000
Ask,344.57000000,7.49900000
Ask,344.58000000,0.87000000
Ask,344.59000000,5.02600000
Ask,344.61000000,8.62000000
Ask,344.62000000,7.45800000
Ask,344.63000000,2.62600000
Ask,344.66000000,0.03600000
Ask,344.68000000,1.19000000
Ask,344.69000000,57.52900000
Ask,344.71000000,0.94500000
Ask,344.72000000,2.38500000
Ask,344.75000000,1.44500000
Ask,344.77000000,4.94500000
Ask,344.78000000,1.19000000
Ask,344.79000000,10.64700000
Ask,344.80000000,0.16800000
Ask,344.81000000,0.13400000
Ask,344.83000000,4.63900000
