Type,Price,Quantity
Bid,707.33000000,5.43700000
Bid,707.32000000,9.98300000
Bid,707.31000000,4.49900000
Bid,707.30000000,8.95000000
Bid,707.29000000,0.02500000
Bid,707.28000000,10.05900000
Bid,707.27000000,4.73000000
Bid,707.26000000,4.59600000
Bid,707.25000000,6.03000000
Bid,707.24000000,28.50300000
Bid,707.23000000,36.45100000
Bid,707.22000000,27.75500000
Bid,707.21000000,2.90500000
Bid,707.20000000,6.52600000
Bid,707.19000000,4.90200000
Bid,707.18000000,4.84600000
Bid,707.17000000,7.67200000
Bid,707.16000000,13.58900000
Bid,707.15000000,4.55400000
Bid,707.14000000,17.42500000
Bid,707.13000000,3.27100000
Bid,707.12000000,20.71100000
Bid,707.11000000,5.87700000
Bid,707.10000000,8.04600000
Bid,707.09000000,6.20000000
Bid,707.08000000,66.21500000
Bid,707.07000000,4.83100000
Bid,707.06000000,12.38500000
Bid,707.05000000,5.50900000
Bid,707.04000000,3.53900000
Bid,707.03000000,11.51100000
Bid,707.01000000,7.89400000
Bid,707.00000000,13.35400000
Bid,706.99000000,0.71800000
Bid,706.98000000,0.56600000
Bid,706.97000000,0.01500000
Bid,706.96000000,14.75900000
Bid,706.95000000,17.63000000
Bid,706.94000000,6.28300000
Bid,706.93000000,5.50600000
Bid,706.92000000,6.31400000
Bid,706.91000000,5.49100000
Bid,706.90000000,10.37500000
Bid,706.88000000,10.07800000
Bid,706.87000000,1.51000000
Bid,706.86000000,2.58000000
Bid,706.85000000,5.50900000
Bid,706.83000000,3.59300000
Bid,706.82000000,0.56600000
Bid,706.81000000,10.88300000
Bid,706.80000000,8.86300000
Bid,706.79000000,11.83500000
Bid,706.78000000,6.14000000
Bid,706.77000000,5.42100000
Bid,706.76000000,8.06500000
Bid,706.75000000,6.82300000
Bid,706.74000000,12.53100000
Bid,706.73000000,5.41900000
Bid,706.72000000,6.83000000
Bid,706.71000000,0.01500000
Bid,706.70000000,5.87000000
Bid,706.69000000,10.27900000
Bid,706.68000000,10.37900000
Bid,706.67000000,7.82500000
Bid,706.66000000,5.58900000
Bid,706.65000000,13.07800000
Bid,706.64000000,24.10200000
Bid,706.63000000,1.87000000
Bid,706.62000000,2.56500000
Bid,706.61000000,12.60100000
Bid,706.60000000,20.74100000
Bid,706.59000000,10.77600000
Bid,706.58000000,37.96500000
Bid,706.57000000,12.43700000
Bid,706.55000000,3.35900000
Bid,706.54000000,13.16200000
Bid,706.53000000,6.20400000
Bid,706.52000000,35.16900000
Bid,706.51000000,20.63000000
Bid,706.50000000,0.01400000
Bid,706.49000000,2.58800000
Bid,706.48000000,12.33300000
Bid,706.47000000,45.66500000
Bid,706.46000000,131.17200000
Bid,706.45000000,0.02600000
Bid,706.44000000,7.07400000
Bid,706.43000000,5.23300000
Bid,706.42000000,0.01500000
Bid,706.41000000,6.56400000
Bid,706.40000000,1.00300000
Bid,706.39000000,5.24700000
Bid,706.38000000,9.27200000
Bid,706.37000000,8.03400000
Bid,706.36000000,4.24900000
Bid,706.35000000,6.65900000
Bid,706.34000000,2.85000000
Bid,706.33000000,2.57300000
Bid,706.32000000,1.84500000
Bid,706.31000000,8.44800000
Bid,706.29000000,2.51100000
Ask,707.34000000,11.73500000
Ask,707.38000000,3.88500000
Ask,707.39000000,6.17300000
Ask,707.40000000,5.57200000
Ask,707.41000000,1.62300000
Ask,707.42000000,1.76900000
Ask,707.44000000,3.54800000
Ask,707.45000000,0.02300000
Ask,707.46000000,0.57400000
Ask,707.47000000,2.32800000
Ask,707.48000000,8.05400000
Ask,707.49000000,71.43800000
Ask,707.50000000,230.52400000
Ask,707.51000000,15.41600000
Ask,707.52000000,3.86000000
Ask,707.53000000,0.01700000
Ask,707.54000000,5.20300000
Ask,707.55000000,0.02100000
Ask,707.56000000,11.19200000
Ask,707.57000000,0.04900000
Ask,707.58000000,11.02200000
Ask,707.59000000,1.76200000
Ask,707.60000000,31.27100000
Ask,707.61000000,29.74700000
Ask,707.62000000,67.89300000
Ask,707.63000000,0.01500000
Ask,707.64000000,33.93300000
Ask,707.65000000,8.71100000
Ask,707.66000000,84.02000000
Ask,707.67000000,8.14000000
Ask,707.68000000,1.81900000
Ask,707.69000000,11.56200000
Ask,707.70000000,6.37100000
Ask,707.71000000,0.51800000
