Type,Price,Quantity
Bid,97917.05000000,0.28450000
Bid,97916.96000000,0.01147000
Bid,97916.64000000,0.00016000
Bid,97916.63000000,0.02722000
Bid,97916.62000000,0.00010000
Bid,97916.61000000,0.00010000
Bid,97916.60000000,0.00010000
Bid,97916.59000000,0.00010000
Bid,97916.58000000,0.00010000
Bid,97916.57000000,0.00016000
Bid,97916.40000000,0.00010000
Bid,97916.21000000,0.00016000
Bid,97915.90000000,0.00010000
Bid,97915.58000000,0.00010000
Bid,97915.50000000,0.00010000
Bid,97915.42000000,0.00010000
Bid,97915.41000000,0.00016000
Bid,97915.24000000,0.00016000
Bid,97913.68000000,0.01010000
Bid,97913.48000000,0.01021000
Bid,97912.93000000,0.00527000
Bid,97912.50000000,0.04090000
Bid,97911.01000000,0.05110000
Bid,97910.87000000,0.00006000
Bid,97910.82000000,0.16954000
Bid,97910.81000000,0.18388000
Bid,97910.47000000,0.14558000
Bid,97910.39000000,0.14845000
Bid,97909.09000000,0.04612000
Bid,97909.00000000,0.04090000
Bid,97908.85000000,0.00011000
Bid,97908.35000000,0.00009000
Bid,97907.30000000,0.02474000
Bid,97907.27000000,0.10689000
Bid,97907.26000000,0.39389000
Bid,97907.25000000,0.49800000
Bid,97906.46000000,0.18492000
Bid,97905.61000000,0.15409000
Bid,97905.59000000,0.20880000
Bid,97905.50000000,0.04090000
Bid,97905.22000000,0.01012000
Bid,97904.82000000,0.00011000
Bid,97904.63000000,0.01508000
Bid,97904.12000000,0.00006000
Bid,97903.93000000,0.00030000
Bid,97903.82000000,0.00006000
Bid,97903.43000000,0.18892000
Bid,97903.12000000,0.00008000
Bid,97902.44000000,0.29483000
Bid,97902.09000000,0.18390000
Bid,97902.05000000,0.00011000
Bid,97902.04000000,0.01021000
Bid,97902.00000000,0.04090000
Bid,97901.68000000,0.00033000
Bid,97901.53000000,0.01011000
Bid,97901.26000000,0.01174000
Bid,97901.14000000,0.12000000
Bid,97900.95000000,0.00039000
Bid,97900.64000000,0.02000000
Bid,97900.00000000,0.07550000
Bid,97899.99000000,0.07186000
Bid,97899.29000000,0.00300000
Bid,97899.16000000,0.06471000
Bid,97899.08000000,0.01502000
Bid,97899.03000000,0.00030000
Bid,97898.50000000,0.04090000
Bid,97898.47000000,0.51095000
Bid,97898.39000000,0.00011000
Bid,97898.05000000,0.01570000
Bid,97897.96000000,0.01050000
Bid,97897.85000000,0.07128000
Bid,97897.51000000,0.01231000
Bid,97897.46000000,0.01351000
Bid,97897.38000000,0.00600000
Bid,97897.36000000,0.00771000
Bid,97896.58000000,0.00006000
Bid,97896.02000000,0.00016000
Bid,97896.00000000,0.03460000
Bid,97895.88000000,0.30664000
Bid,97895.87000000,0.72618000
Bid,97895.82000000,0.04000000
Bid,97895.81000000,0.15409000
Bid,97895.80000000,0.61315000
Bid,97895.79000000,0.49500000
Bid,97895.70000000,0.00100000
Bid,97895.67000000,0.00011000
Bid,97895.65000000,0.61315000
Bid,97895.09000000,0.01712000
Bid,97895.04000000,0.18391000
Bid,97895.00000000,0.04090000
Bid,97894.82000000,0.01221000
Bid,97894.80000000,0.00006000
Bid,97894.61000000,0.01510000
Bid,97894.16000000,0.00011000
Bid,97893.60000000,0.04090000
Bid,97893.36000000,0.00008000
Bid,97893.18000000,0.00846000
Bid,97892.78000000,0.52133000
Bid,97892.76000000,0.00666000
Bid,97892.30000000,0.16000000
Ask,97917.06000000,3.43761000
Ask,97917.07000000,0.00121000
Ask,97917.08000000,0.00028000
Ask,97917.21000000,0.00226000
Ask,97917.24000000,0.00037000
Ask,97917.45000000,0.00058000
Ask,97917.46000000,0.00022000
Ask,97917.47000000,0.00022000
Ask,97917.48000000,0.00022000
Ask,97917.49000000,0.00022000
Ask,97917.50000000,0.00022000
Ask,97917.53000000,0.00022000
Ask,97917.54000000,0.00022000
Ask,97917.55000000,0.00034000
