Type,Price,Quantity
Bid,3627.36000000,20.30810000
Bid,3627.35000000,2.25490000
Bid,3627.34000000,0.00710000
Bid,3627.33000000,0.55700000
Bid,3627.32000000,0.00500000
Bid,3627.31000000,0.00200000
Bid,3627.30000000,0.00480000
Bid,3627.29000000,3.96260000
Bid,3627.28000000,0.00340000
Bid,3627.27000000,0.00200000
Bid,3627.26000000,0.00360000
Bid,3627.25000000,0.00290000
Bid,3627.20000000,1.10400000
Bid,3627.17000000,2.48180000
Bid,3627.15000000,0.00160000
Bid,3627.13000000,0.97650000
Bid,3627.12000000,0.00970000
Bid,3627.07000000,3.63340000
Bid,3627.04000000,3.33110000
Bid,3627.03000000,6.69350000
Bid,3627.02000000,1.03310000
Bid,3627.01000000,1.05000000
Bid,3627.00000000,3.97580000
Bid,3626.99000000,0.23720000
Bid,3626.98000000,0.00210000
Bid,3626.97000000,3.15160000
Bid,3626.96000000,8.27100000
Bid,3626.94000000,0.45270000
Bid,3626.92000000,0.05000000
Bid,3626.91000000,2.42660000
Bid,3626.90000000,0.40160000
Bid,3626.88000000,0.27710000
Bid,3626.85000000,0.57810000
Bid,3626.83000000,0.45000000
Bid,3626.82000000,7.98820000
Bid,3626.81000000,4.86570000
Bid,3626.80000000,5.86630000
Bid,3626.76000000,1.30760000
Bid,3626.75000000,3.82070000
Bid,3626.74000000,1.10710000
Bid,3626.73000000,0.23520000
Bid,3626.72000000,1.40000000
Bid,3626.71000000,1.10970000
Bid,3626.70000000,0.00290000
Bid,3626.67000000,2.06780000
Bid,3626.66000000,10.27190000
Bid,3626.65000000,5.98070000
Bid,3626.63000000,11.68160000
Bid,3626.62000000,0.27770000
Bid,3626.60000000,3.97300000
Bid,3626.58000000,1.12310000
Bid,3626.57000000,0.00280000
Bid,3626.56000000,1.00420000
Bid,3626.55000000,14.77940000
Bid,3626.54000000,0.27570000
Bid,3626.53000000,0.00140000
Bid,3626.51000000,1.93120000
Bid,3626.50000000,5.81070000
Bid,3626.48000000,1.04810000
Bid,3626.47000000,7.35470000
Bid,3626.45000000,9.93690000
Bid,3626.44000000,3.35510000
Bid,3626.43000000,0.01030000
Bid,3626.42000000,0.55140000
Bid,3626.41000000,2.01090000
Bid,3626.40000000,3.97300000
Bid,3626.39000000,11.31620000
Bid,3626.37000000,0.55200000
Bid,3626.35000000,0.01340000
Bid,3626.32000000,0.37230000
Bid,3626.31000000,0.30280000
Bid,3626.30000000,1.78440000
Bid,3626.28000000,31.02980000
Bid,3626.27000000,0.05000000
Bid,3626.26000000,4.16420000
Bid,3626.25000000,0.00900000
Bid,3626.24000000,0.68910000
Bid,3626.23000000,8.40470000
Bid,3626.22000000,4.51660000
Bid,3626.21000000,4.14000000
Bid,3626.20000000,4.66490000
Bid,3626.18000000,0.00540000
Bid,3626.17000000,11.31620000
Bid,3626.15000000,0.00290000
Bid,3626.14000000,2.78990000
Bid,3626.13000000,0.39570000
Bid,3626.12000000,0.69340000
Bid,3626.11000000,0.57420000
Bid,3626.10000000,15.41940000
Bid,3626.09000000,11.31900000
Bid,3626.08000000,1.61770000
Bid,3626.03000000,0.07670000
Bid,3626.01000000,6.94550000
Bid,3626.00000000,15.01290000
Bid,3625.99000000,2.74970000
Bid,3625.97000000,0.00280000
Bid,3625.96000000,14.78870000
Bid,3625.93000000,3.17510000
Bid,3625.92000000,6.72200000
Bid,3625.91000000,6.32900000
Ask,3627.37000000,17.66250000
Ask,3627.39000000,0.00160000
Ask,3627.41000000,0.00290000
Ask,3627.43000000,0.50000000
Ask,3627.45000000,0.00140000
Ask,3627.46000000,0.00310000
Ask,3627.48000000,0.74590000
Ask,3627.49000000,2.48160000
Ask,3627.51000000,0.00160000
Ask,3627.58000000,1.19190000
Ask,3627.60000000,3.97300000
Ask,3627.73000000,2.45070000
Ask,3627.74000000,0.05000000
Ask,3627.75000000,5.00460000
Ask,3627.76000000,3.64280000
Ask,3627.80000000,3.97590000
Ask,3627.81000000,3.32970000
Ask,3627.82000000,3.96180000
Ask,3627.87000000,0.00210000
Ask,3627.89000000,0.00160000
