Type,Price,Quantity
Bid,1565.00000000,1.69710000
Bid,1564.00000000,16.15820000
Bid,1563.00000000,31.83360000
Bid,1562.00000000,29.54620000
Bid,1561.00000000,17.35640000
Bid,1560.00000000,5.77980000
Bid,1559.00000000,10.40270000
Bid,1558.00000000,5.30320000
Bid,1557.00000000,2.68900000
Bid,1556.00000000,2.13130000
Bid,1555.00000000,2.58190000
Bid,1554.00000000,1.50520000
Bid,1553.00000000,2.33750000
Bid,1552.00000000,3.91060000
Bid,1551.00000000,11.42160000
Bid,1550.00000000,2.16820000
Bid,1549.00000000,3.98310000
Bid,1548.00000000,3.60470000
Bid,1547.00000000,3.02840000
Bid,1546.00000000,0.99710000
Bid,1545.00000000,4.53670000
Bid,1544.00000000,0.61320000
Bid,1543.00000000,2.87000000
Bid,1542.00000000,0.96770000
Bid,1541.00000000,0.64810000
Bid,1540.00000000,5.96420000
Bid,1539.00000000,0.13830000
Bid,1538.00000000,0.50570000
Bid,1537.00000000,2.87440000
Bid,1536.00000000,0.49280000
Bid,1535.00000000,2.23210000
Bid,1534.00000000,0.01660000
Bid,1533.00000000,0.01150000
Bid,1532.00000000,0.11590000
Bid,1531.00000000,0.15940000
Bid,1530.00000000,0.31720000
Bid,1529.00000000,0.02100000
Bid,1528.00000000,0.25900000
Bid,1527.00000000,0.06000000
Bid,1526.00000000,0.00720000
Bid,1525.00000000,0.35800000
Bid,1524.00000000,0.02020000
Bid,1523.00000000,0.02990000
Bid,1522.00000000,0.06570000
Bid,1521.00000000,0.01310000
Bid,1520.00000000,0.13380000
Bid,1519.00000000,0.50000000
Bid,1518.00000000,0.19440000
Bid,1517.00000000,0.10060000
Bid,1516.00000000,0.19650000
Bid,1515.00000000,0.03300000
Bid,1514.00000000,0.05630000
Bid,1512.00000000,0.04980000
Bid,1511.00000000,0.04030000
Bid,1510.00000000,1.30020000
Bid,1508.00000000,0.11110000
Bid,1506.00000000,1.01000000
Bid,1505.00000000,0.00660000
Bid,1504.00000000,0.00780000
Bid,1503.00000000,0.03930000
Bid,1501.00000000,0.84540000
Bid,1500.00000000,3.34850000
Bid,1497.00000000,0.01280000
Bid,1496.00000000,0.00740000
Bid,1495.00000000,0.41190000
Bid,1494.00000000,0.98640000
Bid,1493.00000000,0.10570000
Bid,1492.00000000,0.00440000
Bid,1491.00000000,0.00500000
Bid,1490.00000000,0.47200000
Bid,1489.00000000,0.07810000
Bid,1488.00000000,0.04000000
Bid,1486.00000000,0.00470000
Bid,1485.00000000,0.30980000
Bid,1484.00000000,0.03090000
Bid,1483.00000000,0.02390000
Bid,1482.00000000,0.00740000
Bid,1481.00000000,0.01450000
Bid,1480.00000000,10.14340000
Bid,1479.00000000,0.00950000
Bid,1478.00000000,2.24380000
Bid,1477.00000000,0.01700000
Bid,1476.00000000,0.02020000
Bid,1474.00000000,0.00440000
Bid,1473.00000000,0.01680000
Bid,1472.00000000,0.00540000
Bid,1471.00000000,0.02240000
Bid,1470.00000000,9.09670000
Bid,1469.00000000,0.27890000
Bid,1468.00000000,0.02830000
Bid,1466.00000000,0.32250000
Bid,1465.00000000,0.06780000
Bid,1464.00000000,0.01990000
Bid,1463.00000000,0.01750000
Bid,1462.00000000,0.65550000
Bid,1461.00000000,0.02050000
Bid,1460.00000000,6.88800000
Bid,1459.00000000,0.02550000
Bid,1458.00000000,0.23040000
Bid,1457.00000000,0.02390000
Ask,1566.00000000,3.60120000
Ask,1567.00000000,14.52030000
Ask,1568.00000000,30.77260000
Ask,1569.00000000,29.50700000
Ask,1570.00000000,4.31530000
Ask,1571.00000000,2.30500000
Ask,1572.00000000,3.17410000
Ask,1573.00000000,1.40550000
Ask,1574.00000000,9.37780000
Ask,1575.00000000,1.41030000
Ask,1576.00000000,2.26150000
Ask,1577.00000000,1.31490000
Ask,1578.00000000,2.40440000
Ask,1579.00000000,1.39110000
Ask,1580.00000000,1.39810000
Ask,1581.00000000,2.43190000
Ask,1582.00000000,0.50640000
Ask,1583.00000000,0.50450000
Ask,1584.00000000,0.49980000
Ask,1585.00000000,6.71510000
Ask,1586.00000000,0.57370000
Ask,1587.00000000,3.57630000
Ask,1588.00000000,1.55560000
Ask,1589.00000000,0.61190000
Ask,1590.00000000,0.96910000
Ask,1591.00000000,0.04250000
Ask,1592.00000000,1.22580000
Ask,1593.00000000,0.52280000
Ask,1594.00000000,0.00440000
Ask,1595.00000000,6.20220000
Ask,1596.00000000,0.01980000
Ask,1597.00000000,1.14210000
Ask,1598.00000000,0.15090000
Ask,1599.00000000,0.02160000
Ask,1600.00000000,0.54810000
Ask,1601.00000000,0.00780000
Ask,1602.00000000,0.65730000
Ask,1603.00000000,0.00440000
Ask,1605.00000000,0.06740000
Ask,1606.00000000,3.41520000
Ask,1609.00000000,0.00950000
Ask,1611.00000000,0.01810000
Ask,1612.00000000,0.54680000
Ask,1613.00000000,0.12350000
Ask,1614.00000000,1.13220000
Ask,1615.00000000,0.08970000
Ask,1616.00000000,3.24060000
Ask,1618.00000000,0.00360000
Ask,1619.00000000,0.02060000
Ask,1620.00000000,0.05260000
Ask,1621.00000000,0.07380000
Ask,1622.00000000,0.00440000
Ask,1623.00000000,0.00370000
Ask,1624.00000000,0.05340000
Ask,1625.00000000,0.03510000
Ask,1626.00000000,0.03390000
Ask,1627.00000000,0.00470000
Ask,1630.00000000,0.07280000
Ask,1631.00000000,0.00440000
Ask,1632.00000000,0.00950000
Ask,1633.00000000,0.01280000
Ask,1634.00000000,0.25060000
Ask,1635.00000000,0.50930000
Ask,1636.00000000,0.44760000
Ask,1637.00000000,0.03750000
Ask,1638.00000000,0.03130000
Ask,1639.00000000,0.14070000
Ask,1640.00000000,0.32990000
Ask,1641.00000000,0.19900000
Ask,1642.00000000,0.01500000
Ask,1643.00000000,0.22110000
Ask,1644.00000000,0.00710000
Ask,1645.00000000,0.87940000
Ask,1646.00000000,0.37100000
Ask,1647.00000000,0.53540000
Ask,1649.00000000,0.00730000
Ask,1650.00000000,5.22390000
Ask,1651.00000000,0.00320000
Ask,1652.00000000,0.07000000
Ask,1653.00000000,0.04620000
Ask,1654.00000000,0.01500000
Ask,1655.00000000,0.33700000
Ask,1656.00000000,0.03200000
Ask,1657.00000000,0.00470000
Ask,1658.00000000,0.02530000
Ask,1659.00000000,0.02910000
