Type,Price,Quantity
Bid,213.57000000,1.25500000
Bid,213.56000000,15.80000000
Bid,213.55000000,85.97600000
Bid,213.54000000,270.21100000
Bid,213.53000000,252.42200000
Bid,213.52000000,127.78800000
Bid,213.51000000,143.85000000
Bid,213.50000000,209.80700000
Bid,213.49000000,206.47800000
Bid,213.48000000,169.06800000
Bid,213.47000000,305.47900000
Bid,213.46000000,223.91900000
Bid,213.45000000,363.72300000
Bid,213.44000000,201.85500000
Bid,213.43000000,77.11200000
Bid,213.42000000,179.31500000
Bid,213.41000000,21.60500000
Bid,213.40000000,64.48700000
Bid,213.39000000,66.29100000
Bid,213.38000000,236.21100000
Bid,213.37000000,395.75100000
Bid,213.36000000,92.78300000
Bid,213.35000000,114.24600000
Bid,213.34000000,240.72400000
Bid,213.33000000,192.92700000
Bid,213.32000000,221.28800000
Bid,213.31000000,250.85600000
Bid,213.30000000,306.73100000
Bid,213.29000000,373.44200000
Bid,213.28000000,739.48800000
Bid,213.27000000,307.62200000
Bid,213.26000000,410.28600000
Bid,213.25000000,303.40900000
Bid,213.24000000,332.44500000
Bid,213.23000000,274.81500000
Bid,213.22000000,387.53600000
Bid,213.21000000,353.42600000
Bid,213.20000000,444.21800000
Bid,213.19000000,132.04700000
Bid,213.18000000,203.23900000
Bid,213.17000000,136.96000000
Bid,213.16000000,174.45800000
Bid,213.15000000,156.32400000
Bid,213.14000000,140.90000000
Bid,213.13000000,126.01600000
Bid,213.12000000,69.65900000
Bid,213.11000000,78.54500000
Bid,213.10000000,82.90400000
Bid,213.09000000,55.28300000
Bid,213.08000000,59.14600000
Bid,213.07000000,52.05800000
Bid,213.06000000,20.31900000
Bid,213.05000000,89.61100000
Bid,213.04000000,107.74100000
Bid,213.03000000,140.77000000
Bid,213.02000000,94.84900000
Bid,213.01000000,584.87700000
Bid,213.00000000,93.98100000
Bid,212.99000000,739.02100000
Bid,212.98000000,53.99800000
Bid,212.97000000,18.87200000
Bid,212.96000000,114.48100000
Bid,212.95000000,27.76700000
Bid,212.94000000,29.57800000
Bid,212.93000000,424.76200000
Bid,212.92000000,46.06500000
Bid,212.91000000,73.79400000
Bid,212.90000000,460.15700000
Bid,212.89000000,100.07200000
Bid,212.88000000,56.00600000
Bid,212.87000000,65.65100000
Bid,212.86000000,0.07100000
Bid,212.85000000,70.83200000
Bid,212.84000000,9.43100000
Bid,212.83000000,1039.17300000
Bid,212.82000000,23.20400000
Bid,212.81000000,0.04700000
Bid,212.80000000,87.26800000
Bid,212.79000000,23.62000000
Bid,212.78000000,9.50300000
Bid,212.77000000,34.87800000
Bid,212.76000000,33.01500000
Bid,212.75000000,0.05000000
Bid,212.74000000,22.05000000
Bid,212.73000000,58.00700000
Bid,212.72000000,70.91300000
Bid,212.71000000,7.56700000
Bid,212.70000000,25.65400000
Bid,212.69000000,2.89000000
Bid,212.68000000,14.13800000
Bid,212.67000000,75.61500000
Bid,212.66000000,1.53300000
Bid,212.65000000,0.22600000
