Type,Price,Quantity
Bid,560.60000000,12.39600000
Bid,560.50000000,12.15420000
Bid,560.40000000,23.16280000
Bid,560.30000000,31.77670000
Bid,560.20000000,51.67770000
Bid,560.10000000,40.21310000
Bid,560.00000000,45.85990000
Bid,559.90000000,37.37280000
Bid,559.80000000,32.58100000
Bid,559.70000000,37.98740000
Bid,559.60000000,55.16080000
Bid,559.50000000,47.56110000
Bid,559.40000000,36.78480000
Bid,559.30000000,15.61450000
Bid,559.20000000,24.35360000
Bid,559.10000000,11.99670000
Bid,559.00000000,24.30700000
Bid,558.90000000,14.09130000
Bid,558.80000000,43.62040000
Bid,558.70000000,7.02670000
Bid,558.60000000,75.84030000
Bid,558.50000000,8.12770000
Bid,558.40000000,10.02750000
Bid,558.30000000,7.33450000
Bid,558.20000000,94.80750000
Bid,558.10000000,6.88340000
Bid,558.00000000,18.78290000
Bid,557.90000000,8.52160000
Bid,557.80000000,13.98810000
Bid,557.70000000,2.67620000
Bid,557.60000000,4.88510000
Bid,557.50000000,7.98100000
Bid,557.40000000,10.25350000
Bid,557.30000000,2.59990000
Bid,557.20000000,10.77340000
Bid,557.10000000,16.62500000
Bid,557.00000000,17.73880000
Bid,556.90000000,114.88800000
Bid,556.80000000,8.97700000
Bid,556.70000000,5.80300000
Bid,556.60000000,8.05610000
Bid,556.50000000,22.75750000
Bid,556.40000000,7.94190000
Bid,556.30000000,4.98620000
Bid,556.20000000,0.41200000
Bid,556.10000000,5.34860000
Bid,556.00000000,2.46130000
Bid,555.90000000,6.63200000
Bid,555.80000000,2.27560000
Bid,555.70000000,7.29970000
Bid,555.60000000,0.21500000
Bid,555.50000000,8.07530000
Bid,555.40000000,0.56580000
Bid,555.30000000,6.13510000
Bid,555.20000000,93.89620000
Bid,555.10000000,2.96900000
Bid,555.00000000,0.62280000
Bid,554.90000000,5.71150000
Bid,554.80000000,0.05360000
Bid,554.70000000,0.05640000
Bid,554.60000000,0.03270000
Bid,554.50000000,2.55790000
Bid,554.40000000,3.41780000
Bid,554.30000000,0.01290000
Bid,554.20000000,0.06040000
Bid,554.10000000,1.16440000
Bid,554.00000000,0.01390000
Bid,553.90000000,0.04080000
Bid,553.80000000,0.39950000
Bid,553.70000000,0.03320000
Bid,553.60000000,0.01480000
Bid,553.50000000,0.01360000
Bid,553.40000000,0.36070000
Bid,553.30000000,1.38690000
Bid,553.20000000,1.61140000
Bid,553.10000000,2.59460000
Bid,553.00000000,0.60130000
Bid,552.90000000,4.58460000
Bid,552.80000000,0.81050000
Bid,552.70000000,98.38870000
Bid,552.60000000,0.49300000
Bid,552.50000000,0.73570000
Bid,552.40000000,54.51320000
Bid,552.30000000,0.43780000
Bid,552.20000000,1.11260000
Bid,552.10000000,0.36160000
Bid,552.00000000,50.28760000
Bid,551.80000000,0.07590000
Bid,551.70000000,0.11210000
Bid,551.60000000,0.55820000
Bid,551.50000000,1.11500000
Bid,551.40000000,2.64870000
Bid,551.30000000,0.93250000
Bid,551.20000000,1.01280000
Bid,551.10000000,0.60340000
Bid,551.00000000,4.53600000
Bid,550.90000000,0.06900000
Bid,550.80000000,0.24020000
Bid,550.70000000,2.50740000
Bid,550.50000000,0.05320000
Ask,560.70000000,0.03100000
Ask,560.80000000,10.88850000
Ask,560.90000000,15.97810000
Ask,561.00000000,9.63740000
Ask,561.10000000,13.23860000
Ask,561.20000000,11.28170000
Ask,561.30000000,23.06590000
Ask,561.40000000,46.63380000
Ask,561.50000000,27.78180000
Ask,561.60000000,21.76790000
Ask,561.70000000,44.62150000
Ask,561.80000000,21.22590000
Ask,561.90000000,78.31810000
Ask,562.00000000,88.76240000
Ask,562.10000000,41.15520000
Ask,562.20000000,54.19890000
Ask,562.30000000,14.89430000
Ask,562.40000000,21.99020000
Ask,562.50000000,22.22070000
Ask,562.60000000,17.16350000
Ask,562.70000000,11.63520000
Ask,562.80000000,12.21600000
Ask,562.90000000,12.33720000
Ask,563.00000000,30.03150000
Ask,563.10000000,14.69730000
Ask,563.20000000,7.57190000
Ask,563.30000000,14.74920000
Ask,563.40000000,4.70180000
Ask,563.50000000,14.94210000
Ask,563.60000000,5.60860000
Ask,563.70000000,31.98340000
Ask,563.80000000,12.18170000
Ask,563.90000000,10.49850000
Ask,564.00000000,9.78730000
Ask,564.10000000,51.60040000
Ask,564.20000000,4.10810000
Ask,564.30000000,23.42430000
Ask,564.40000000,5.05000000
Ask,564.50000000,21.12970000
Ask,564.60000000,3.68130000
Ask,564.70000000,8.17690000
Ask,564.80000000,6.07480000
Ask,564.90000000,9.98230000
Ask,565.00000000,7.26610000
Ask,565.10000000,8.34930000
Ask,565.20000000,17.90840000
Ask,565.30000000,114.37480000
Ask,565.40000000,8.34530000
Ask,565.50000000,6.54460000
Ask,565.60000000,2.79150000
Ask,565.70000000,8.13090000
Ask,565.80000000,12.80660000
Ask,565.90000000,26.63440000
Ask,566.00000000,7.40250000
Ask,566.10000000,8.68210000
Ask,566.20000000,8.23260000
Ask,566.30000000,2.74430000
Ask,566.40000000,2.48270000
Ask,566.50000000,3.77680000
Ask,566.60000000,0.07500000
Ask,566.70000000,0.09720000
Ask,566.80000000,0.01340000
Ask,566.90000000,0.18250000
Ask,567.00000000,84.07990000
Ask,567.10000000,0.11150000
Ask,567.20000000,0.89590000
Ask,567.30000000,0.04900000
Ask,567.40000000,0.59390000
Ask,567.50000000,0.02440000
Ask,567.60000000,0.03830000
Ask,567.70000000,1.37390000
Ask,567.80000000,36.80180000
Ask,567.90000000,22.70140000
Ask,568.00000000,37.04740000
Ask,568.10000000,1.90890000
Ask,568.20000000,1.00000000
Ask,568.30000000,1.42730000
Ask,568.40000000,1.56870000
Ask,568.50000000,1.10450000
Ask,568.60000000,7.10890000
Ask,568.70000000,8.13090000
Ask,568.80000000,1.03460000
Ask,568.90000000,0.73590000
Ask,569.00000000,8.37740000
Ask,569.10000000,1.38420000
Ask,569.20000000,0.04870000
Ask,569.30000000,0.71950000
Ask,569.40000000,7.30410000
Ask,569.60000000,0.02680000
Ask,569.70000000,0.05070000
Ask,569.80000000,49.04650000
Ask,569.90000000,42.80710000
Ask,570.00000000,54.26640000
Ask,570.10000000,0.01320000
Ask,570.20000000,0.01700000
Ask,570.30000000,0.04360000
Ask,570.40000000,0.17310000
Ask,570.50000000,0.05180000
Ask,570.60000000,0.03650000
Ask,570.70000000,42.95930000
