Type,Price,Quantity
Bid,3841.28000000,0.16200000
Bid,3840.70000000,0.23020000
Bid,3839.39000000,0.10000000
Bid,3839.38000000,0.15240000
Bid,3839.37000000,0.16200000
Bid,3838.98000000,0.02540000
Bid,3837.81000000,0.10000000
Bid,3837.80000000,0.16200000
Bid,3835.45000000,0.10000000
Bid,3835.44000000,0.16200000
Bid,3832.72000000,0.23460000
Bid,3832.71000000,0.16200000
Bid,3832.52000000,0.14180000
Bid,3832.41000000,0.50000000
Bid,3831.93000000,0.16200000
Bid,3831.59000000,3.26150000
Bid,3831.58000000,0.00780000
Bid,3831.49000000,0.13910000
Bid,3831.31000000,0.05210000
Bid,3829.93000000,0.16200000
Bid,3829.56000000,0.13450000
Bid,3829.54000000,0.16200000
Bid,3828.08000000,0.13460000
Bid,3828.07000000,0.56710000
Bid,3827.99000000,0.13460000
Bid,3827.98000000,0.16200000
Bid,3826.03000000,0.01290000
Bid,3825.50000000,0.01960000
Bid,3825.21000000,0.13470000
Bid,3824.86000000,0.16200000
Bid,3824.16000000,0.13460000
Bid,3824.15000000,0.07820000
Bid,3824.08000000,0.16200000
Bid,3823.60000000,0.67780000
Bid,3823.59000000,0.07410000
Bid,3823.31000000,0.13470000
Bid,3823.30000000,0.16200000
Bid,3822.87000000,0.07820000
Bid,3822.14000000,0.13470000
Bid,3822.13000000,0.16200000
Bid,3821.18000000,1.44820000
Bid,3820.98000000,0.13470000
Bid,3820.97000000,0.07410000
Bid,3820.95000000,0.07830000
Bid,3820.20000000,0.07420000
Bid,3819.91000000,0.13460000
Bid,3819.82000000,0.07760000
Bid,3819.80000000,0.07830000
Bid,3819.47000000,0.00790000
Bid,3819.40000000,0.13490000
Bid,3819.05000000,0.07420000
Bid,3818.78000000,0.01290000
Bid,3818.62000000,0.13490000
Bid,3817.90000000,0.07420000
Bid,3817.78000000,0.13480000
Bid,3816.51000000,0.07360000
Bid,3816.41000000,0.07770000
Bid,3816.35000000,0.07790000
Bid,3816.29000000,0.13500000
Bid,3816.28000000,0.07770000
Bid,3816.13000000,0.07360000
Bid,3816.08000000,0.07770000
Bid,3816.06000000,0.00760000
Bid,3815.91000000,0.07360000
Bid,3814.89000000,0.13460000
Bid,3814.09000000,0.27470000
Bid,3814.03000000,0.13500000
Bid,3813.73000000,0.13500000
Bid,3813.13000000,0.91620000
Bid,3813.04000000,1.43980000
Bid,3812.63000000,0.00760000
Bid,3812.55000000,0.07780000
Bid,3812.52000000,0.07800000
