Type,Price,Quantity
Bid,97707.79000000,1.02371000
Bid,97702.28000000,0.03870000
Bid,97698.64000000,0.03870000
Bid,97687.61000000,0.07740000
Bid,97682.27000000,0.00051000
Bid,97676.41000000,1.02404000
Bid,97651.83000000,0.03870000
Bid,97616.79000000,2.04934000
Bid,97612.71000000,0.03870000
Bid,97576.51000000,0.00097000
Bid,97576.50000000,0.16520000
Bid,97564.55000000,0.03870000
Bid,97539.28000000,0.01303000
Bid,97496.77000000,0.03870000
Bid,97491.20000000,0.51582000
Bid,97487.00000000,0.03870000
Bid,97478.41000000,0.05227000
Bid,97477.23000000,0.03870000
Bid,97444.73000000,0.00060000
Bid,97427.51000000,0.03870000
Bid,97422.64000000,0.00102000
Bid,97417.90000000,0.66224000
Bid,97417.74000000,0.03870000
Bid,97395.88000000,0.00060000
Bid,97347.03000000,0.00060000
Bid,97300.25000000,0.03995000
Bid,97300.24000000,0.03870000
Bid,97295.64000000,0.00007000
Bid,97280.70000000,0.03870000
Bid,97271.99000000,0.13267000
Bid,97270.93000000,0.03870000
Bid,97226.54000000,0.00060000
Bid,97207.01000000,0.00060000
Bid,97202.54000000,0.03870000
Bid,97198.31000000,0.01290000
Bid,97198.30000000,0.84604000
Bid,97195.12000000,0.00006000
Bid,97177.72000000,0.00060000
Bid,97175.29000000,0.01290000
Bid,97175.28000000,0.03870000
Bid,97170.41000000,0.00102000
Bid,97148.43000000,0.00060000
Bid,97126.57000000,0.01291000
Bid,97126.56000000,0.03870000
Bid,97114.51000000,0.00060000
Bid,97110.99000000,0.00006000
Bid,97107.04000000,0.03870000
Bid,97105.89000000,0.00060000
Bid,97085.99000000,0.01291000
Bid,97077.76000000,0.03870000
Bid,97027.85000000,0.01079000
Bid,97027.57000000,0.00132000
Bid,97000.35000000,0.03870000
Bid,97000.15000000,0.00010000
Bid,96999.60000000,0.00007000
Bid,96912.62000000,0.03870000
Bid,96904.94000000,0.00026000
Bid,96902.88000000,0.03870000
Bid,96868.22000000,0.02062000
Bid,96859.07000000,0.00060000
Bid,96841.49000000,0.00826000
Bid,96834.75000000,0.03870000
Bid,96829.26000000,0.00006000
Bid,96810.34000000,0.00060000
Bid,96789.44000000,0.01496000
Bid,96748.98000000,0.23961000
Bid,96737.48000000,0.03870000
Bid,96734.15000000,0.00006000
Bid,96727.60000000,0.04130000
Bid,96703.56000000,0.00007000
Bid,96690.16000000,0.00021000
Bid,96677.90000000,0.00947000
Bid,96677.89000000,0.00060000
Bid,96640.28000000,0.03870000
Bid,96510.25000000,0.00010000
Bid,96463.42000000,0.00017000
Bid,96463.41000000,0.00006000
Bid,96417.20000000,0.68782000
Bid,96407.52000000,0.00007000
Bid,96357.31000000,0.00006000
Bid,96300.93000000,0.00037000
Bid,96239.03000000,0.00012000
Bid,96211.11000000,0.00006000
Bid,96111.48000000,0.00007000
Bid,96109.51000000,0.00108000
Bid,96097.56000000,0.00006000
Bid,96074.17000000,0.00016000
Bid,96057.49000000,0.00026000
Bid,96020.35000000,0.00010000
Bid,95980.47000000,0.00006000
Bid,95815.44000000,0.00007000
Bid,95733.04000000,0.00007000
Bid,95603.63000000,0.00006000
Bid,95600.00000000,0.01046000
Bid,95573.01000000,0.00017000
Bid,95563.06000000,0.00334000
Bid,95530.45000000,0.00010000
Bid,95519.40000000,0.00007000
Bid,95365.85000000,0.00006000
Bid,95342.08000000,0.00041000
Ask,97708.43000000,0.04252000
Ask,97709.99000000,0.01660000
Ask,97710.00000000,0.07740000
Ask,97710.37000000,0.02024000
Ask,97716.36000000,1.02362000
Ask,97741.05000000,0.03870000
Ask,97741.28000000,0.00102000
Ask,97750.81000000,0.00250000
Ask,97750.82000000,0.03870000
Ask,97757.98000000,1.02319000
Ask,97760.58000000,0.00102000
Ask,97770.37000000,0.03870000
Ask,97784.20000000,0.08519000
Ask,97798.55000000,0.00250000
Ask,97798.56000000,0.03870000
Ask,97798.90000000,0.16420000
Ask,97809.85000000,2.04529000
Ask,97818.10000000,0.05159000
Ask,97837.66000000,0.03870000
Ask,97838.05000000,0.01289000
Ask,97866.82000000,0.03870000
Ask,97872.51000000,0.01354000
Ask,97872.89000000,0.01288000
Ask,97877.80000000,0.16370000
Ask,97887.72000000,0.00007000
Ask,97896.01000000,0.03870000
Ask,97898.29000000,0.01287000
Ask,97900.29000000,0.01287000
Ask,97905.76000000,0.03870000
Ask,97926.82000000,0.00006000
Ask,97940.46000000,0.01287000
Ask,97951.10000000,0.33119000
Ask,97952.97000000,0.01287000
Ask,97954.66000000,0.03870000
Ask,97955.10000000,0.05467000
Ask,97974.06000000,0.03870000
Ask,97987.79000000,0.00392000
Ask,98003.68000000,0.01287000
Ask,98008.29000000,0.01286000
Ask,98009.25000000,0.00392000
Ask,98013.07000000,0.03870000
Ask,98017.05000000,0.00392000
Ask,98028.75000000,0.00392000
Ask,98029.03000000,0.00006000
Ask,98031.58000000,0.00093000
Ask,98042.35000000,0.03870000
Ask,98056.26000000,0.01286000
Ask,98058.00000000,0.00392000
Ask,98065.16000000,0.01285000
Ask,98071.63000000,0.03870000
Ask,98077.51000000,0.00392000
Ask,98104.40000000,0.01285000
Ask,98106.76000000,0.00392000
Ask,98114.21000000,0.01285000
Ask,98120.48000000,0.03870000
Ask,98126.26000000,0.00392000
Ask,98130.25000000,0.03870000
Ask,98151.36000000,0.01285000
Ask,98155.51000000,0.00392000
Ask,98172.89000000,0.01291000
Ask,98175.02000000,0.00392000
Ask,98175.83000000,0.00265000
Ask,98179.10000000,0.03870000
Ask,98183.76000000,0.00007000
Ask,98190.49000000,0.01290000
Ask,98204.27000000,0.00391000
Ask,98223.77000000,0.00391000
Ask,98237.99000000,0.01290000
Ask,98253.77000000,0.00385000
Ask,98258.46000000,0.01290000
Ask,98259.79000000,0.13689000
Ask,98271.69000000,0.01290000
Ask,98271.70000000,0.82255000
Ask,98278.69000000,0.00006000
Ask,98292.68000000,0.00006000
Ask,98329.60000000,0.00394000
Ask,98378.41000000,0.00250000
Ask,98479.80000000,0.00007000
Ask,98510.76000000,0.00573000
Ask,98529.00000000,0.00006000
Ask,98536.38000000,0.00063000
Ask,98542.65000000,0.00416000
Ask,98546.53000000,0.00021000
Ask,98573.62000000,0.00387000
Ask,98599.86000000,0.00026000
Ask,98658.53000000,0.00006000
Ask,98666.69000000,0.00108000
Ask,98667.72000000,0.00046000
Ask,98692.27000000,0.00017000
Ask,98701.01000000,0.00156000
Ask,98712.35000000,0.00019000
Ask,98775.84000000,0.00007000
Ask,98886.07000000,0.00024000
Ask,98913.32000000,0.00006000
Ask,99000.00000000,0.02387000
Ask,99024.39000000,0.00006000
Ask,99044.77000000,0.24670000
Ask,99054.30000000,0.65991000
Ask,99071.88000000,0.00007000
Ask,99088.41000000,0.00044000
