Type,Price,Quantity
Bid,8772.00000000,0.03300000
Bid,8770.00000000,0.06188000
Bid,8769.00000000,0.11340000
Bid,8768.00000000,0.08120000
Bid,8767.00000000,0.13594000
Bid,8766.00000000,0.09227000
Bid,8765.00000000,0.06248000
Bid,8764.00000000,0.09833000
Bid,8763.00000000,0.13746000
Bid,8762.00000000,0.43021000
Bid,8761.00000000,0.49700000
Bid,8760.00000000,0.67140000
Bid,8759.00000000,0.19593000
Bid,8758.00000000,0.08311000
Bid,8757.00000000,0.07700000
Bid,8756.00000000,0.25858000
Bid,8755.00000000,0.19486000
Bid,8754.00000000,0.07755000
Bid,8753.00000000,0.05305000
Bid,8752.00000000,0.14977000
Bid,8751.00000000,0.78049000
Bid,8750.00000000,0.44102000
Bid,8749.00000000,0.04407000
Bid,8748.00000000,0.26128000
Bid,8747.00000000,0.34814000
Bid,8746.00000000,0.27459000
Bid,8744.00000000,0.04226000
Bid,8741.00000000,0.01440000
Bid,8740.00000000,0.11573000
Bid,8737.00000000,0.01441000
Bid,8736.00000000,0.01527000
Bid,8735.00000000,0.28625000
Bid,8734.00000000,0.05525000
Bid,8733.00000000,0.27651000
Bid,8732.00000000,0.01528000
Bid,8729.00000000,0.02431000
Bid,8728.00000000,0.07053000
Bid,8727.00000000,0.28651000
Bid,8726.00000000,0.01552000
Bid,8724.00000000,0.00086000
Bid,8723.00000000,0.01442000
Bid,8722.00000000,0.05525000
Bid,8721.00000000,0.01443000
Bid,8720.00000000,0.10554000
Bid,8719.00000000,0.07510000
Bid,8718.00000000,0.01444000
Bid,8716.00000000,0.05611000
Bid,8715.00000000,0.08790000
Bid,8714.00000000,0.02477000
Bid,8713.00000000,0.01477000
Bid,8712.00000000,0.00087000
Bid,8710.00000000,0.01445000
Bid,8709.00000000,0.00543000
Bid,8708.00000000,0.05612000
Bid,8707.00000000,0.01446000
Bid,8706.00000000,0.01446000
Bid,8704.00000000,0.00087000
Bid,8702.00000000,0.06972000
Bid,8700.00000000,0.00087000
Bid,8699.00000000,0.01447000
Bid,8697.00000000,0.01448000
Bid,8696.00000000,0.05612000
Bid,8694.00000000,0.01448000
Bid,8692.00000000,0.00087000
Bid,8691.00000000,0.01448000
Bid,8690.00000000,0.05525000
Bid,8688.00000000,0.74846000
Bid,8687.00000000,0.01558000
Bid,8684.00000000,0.01537000
Bid,8683.00000000,0.05525000
Bid,8682.00000000,0.00322000
Bid,8681.00000000,0.01450000
Bid,8680.00000000,0.00163000
Bid,8679.00000000,0.01450000
Bid,8678.00000000,0.05784000
Bid,8677.00000000,0.05525000
Bid,8676.00000000,0.00087000
Bid,8675.00000000,0.01451000
Bid,8672.00000000,0.00087000
Bid,8671.00000000,0.06977000
Bid,8669.00000000,0.01452000
Bid,8668.00000000,0.00087000
Bid,8667.00000000,0.01453000
Bid,8665.00000000,0.05525000
Bid,8664.00000000,0.00087000
Bid,8660.00000000,0.00087000
Bid,8659.00000000,0.05525000
Bid,8658.00000000,0.00983000
Bid,8656.00000000,0.00087000
Bid,8653.00000000,0.05525000
Bid,8652.00000000,0.00087000
Bid,8649.00000000,0.00109000
Bid,8648.00000000,0.00087000
Bid,8647.00000000,0.05525000
Bid,8644.00000000,0.00087000
Bid,8641.00000000,0.05525000
Bid,8640.00000000,0.01539000
Bid,8639.00000000,0.70406000
Bid,8636.00000000,0.00377000
Bid,8635.00000000,0.00151000
Ask,8773.00000000,0.02700000
Ask,8774.00000000,0.10210000
Ask,8775.00000000,0.16248000
Ask,8776.00000000,0.17893000
Ask,8777.00000000,0.13333000
Ask,8778.00000000,0.07651000
Ask,8779.00000000,0.18420000
Ask,8780.00000000,0.20997000
Ask,8781.00000000,0.13287000
Ask,8782.00000000,0.22022000
Ask,8783.00000000,0.23096000
Ask,8784.00000000,0.30394000
Ask,8785.00000000,0.57274000
Ask,8786.00000000,0.42966000
Ask,8787.00000000,0.62453000
Ask,8788.00000000,0.04727000
Ask,8789.00000000,0.08605000
Ask,8790.00000000,0.02700000
Ask,8791.00000000,0.02786000
Ask,8792.00000000,0.04147000
Ask,8793.00000000,0.35721000
Ask,8794.00000000,0.04256000
Ask,8795.00000000,0.22442000
Ask,8796.00000000,0.34139000
Ask,8798.00000000,0.30351000
Ask,8799.00000000,0.08312000
Ask,8800.00000000,3.20893000
Ask,8802.00000000,0.02700000
Ask,8803.00000000,0.04333000
Ask,8805.00000000,0.05525000
Ask,8806.00000000,0.02344000
Ask,8807.00000000,0.00086000
Ask,8808.00000000,0.39748000
Ask,8809.00000000,0.00113000
Ask,8810.00000000,0.01444000
Ask,8811.00000000,0.05611000
Ask,8813.00000000,0.01444000
Ask,8814.00000000,0.01442000
Ask,8815.00000000,0.39801000
Ask,8816.00000000,0.03564000
Ask,8817.00000000,0.05525000
Ask,8819.00000000,0.01527000
Ask,8820.00000000,0.04863000
Ask,8821.00000000,0.02773000
Ask,8822.00000000,0.01441000
Ask,8823.00000000,0.00086000
Ask,8825.00000000,0.01440000
Ask,8826.00000000,0.05525000
Ask,8827.00000000,0.00086000
Ask,8828.00000000,0.01440000
Ask,8829.00000000,0.01441000
Ask,8831.00000000,0.00237000
Ask,8832.00000000,0.01440000
Ask,8834.00000000,0.57131000
Ask,8835.00000000,0.05611000
Ask,8837.00000000,0.01440000
Ask,8839.00000000,0.00086000
Ask,8840.00000000,0.01514000
Ask,8841.00000000,0.05634000
Ask,8842.00000000,0.00318000
Ask,8843.00000000,0.00086000
Ask,8845.00000000,0.01436000
Ask,8846.00000000,0.08842000
Ask,8847.00000000,0.00086000
Ask,8851.00000000,0.00086000
Ask,8854.00000000,0.01436000
Ask,8855.00000000,0.01336000
Ask,8859.00000000,0.05271000
Ask,8860.00000000,0.01142000
Ask,8866.00000000,0.00243000
Ask,8870.00000000,0.00393000
Ask,8876.00000000,0.01468000
Ask,8880.00000000,0.00185000
Ask,8884.00000000,0.00317000
Ask,8896.00000000,0.00316000
Ask,8897.00000000,0.29153000
Ask,8899.00000000,0.02347000
Ask,8900.00000000,0.16318000
Ask,8918.00000000,0.00109000
Ask,8920.00000000,0.00076000
Ask,8921.00000000,0.10905000
Ask,8929.00000000,0.02888000
Ask,8940.00000000,0.04218000
Ask,8950.00000000,0.00314000
Ask,8957.00000000,0.00109000
Ask,8960.00000000,0.00076000
Ask,8962.00000000,0.00266000
Ask,8966.00000000,0.03138000
Ask,8968.00000000,0.11151000
Ask,8969.00000000,0.01453000
Ask,8983.00000000,0.02964000
Ask,8995.00000000,0.04338000
Ask,8996.00000000,0.01159000
Ask,8997.00000000,0.00393000
Ask,8998.00000000,0.02907000
Ask,9000.00000000,0.00821000
Ask,9005.00000000,0.00312000
Ask,9009.00000000,0.01509000
Ask,9013.00000000,0.00060000
Ask,9016.00000000,0.00066000
