Symbol,Score,Volume,Price,Status,Base Asset,Quote Asset,Min Price,Max Price,Tick Size,Min Qty,Max Qty,Step Size,Min Notional
BTCUSDT,76100264950090.52,777495665.0434724,97878.7,TRADING,BTC,USDT,0.01000000,1000000.00000000,0.01000000,0.00001000,9000.00000000,0.00001000,
ETHUSDT,2493975881830.6924,688304745.272535,3623.36,TRADING,ETH,USDT,0.01000000,1000000.00000000,0.01000000,0.00010000,9000.00000000,0.00010000,
WBTCUSDT,425758921732.7555,4360424.5989851,97641.62,TRADING,WBTC,USDT,0.01000000,1000000.00000000,0.01000000,0.00001000,9000.00000000,0.00001000,
SOLUSDT,95993062380.01999,450037798.31233,213.3,TRADING,SOL,USDT,0.01000000,10000.00000000,0.01000000,0.00100000,90000.00000000,0.00100000,
BNBUSDT,67320700507.63775,95167729.97588,707.39,TRADING,BNB,USDT,0.01000000,100000.00000000,0.01000000,0.00100000,900000.00000000,0.00100000,
WBETHUSDT,56066800143.08797,14612830.454149,3836.82,TRADING,WBETH,USDT,0.01000000,999996.00000000,0.01000000,0.00010000,92233.00000000,0.00010000,
YFIUSDT,26197286674.476448,2987488.50205,8769.0,TRADING,YFI,USDT,1.00000000,1000000.00000000,1.00000000,0.00001000,9000.00000000,0.00001000,
TAOUSDT,22042881772.17126,39397465.18708,559.5,TRADING,TAO,USDT,0.10000000,100000.00000000,0.10000000,0.00010000,922327.00000000,0.00010000,
AAVEUSDT,15974499417.18475,46472622.96266,343.74,TRADING,AAVE,USDT,0.01000000,100000.00000000,0.01000000,0.00100000,900000.00000000,0.00100000,
MKRUSDT,9840688984.3816,6292000.6294,1564.0,TRADING,MKR,USDT,1.00000000,100000.00000000,1.00000000,0.00010000,90000.00000000,0.00010000,
