Symbol,Base Asset,Quote Asset,Status,Min Price,Max Price,Tick Size,Min Qty,Max Qty,Step Size,Min Notional,Score
BTTCUSDT,BTTC,USDT,TRADING,1e-08,0.1,1e-08,1.0,92233720368.0,1.0,,9.2233720368e+18
FLOKIUSDT,FLOKI,USDT,TRADING,1e-08,0.1,1e-08,1.0,92233720368.0,1.0,,9.2233720368e+18
PEPEUSDT,PEPE,USDT,TRADING,1e-08,0.1,1e-08,1.0,92233720368.0,1.0,,9.2233720368e+18
XECUSDT,XEC,USDT,TRADING,1e-08,1.0,1e-08,1.0,46116860414.0,1.0,,4.611686041399999e+18
SHIBUSDT,SHIB,USDT,TRADING,1e-08,1.0,1e-08,1.0,46116860414.0,1.0,,4.611686041399999e+18
BONKUSDT,BONK,USDT,TRADING,1e-08,1.0,1e-08,1.0,36348600000.0,1.0,,3.63486e+18
NEIROUSDT,NEIRO,USDT,TRADING,1e-08,1.0,1e-08,1.0,36348600000.0,1.0,,3.63486e+18
LUNCUSDT,LUNC,USDT,TRADING,1e-08,10.0,1e-08,0.01,8384883677.0,0.01,,8.384883677e+17
1000SATSUSDT,1000SATS,USDT,TRADING,1e-07,1.0,1e-07,1.0,36348600000.0,1.0,,3.63486e+17
DOGSUSDT,DOGS,USDT,TRADING,1e-07,1.0,1e-07,1.0,36348600000.0,1.0,,3.63486e+17
1MBABYDOGEUSDT,1MBABYDOGE,USDT,TRADING,1e-07,1.0,1e-07,1.0,36348600000.0,1.0,,3.63486e+17
WINUSDT,WIN,USDT,TRADING,1e-08,100.0,1e-08,1.0,913205152.0,1.0,,9.13205152e+16
BOMEUSDT,BOME,USDT,TRADING,1e-06,1.0,1e-06,1.0,46000000000.0,1.0,,4.6e+16
HMSTRUSDT,HMSTR,USDT,TRADING,1e-06,1.0,1e-06,1.0,36348600000.0,1.0,,3.63486e+16
TURBOUSDT,TURBO,USDT,TRADING,1e-06,10.0,1e-06,1.0,8384883677.0,1.0,,8384883677000000.0
NOTUSDT,NOT,USDT,TRADING,1e-06,10.0,1e-06,1.0,8000000000.0,1.0,,8000000000000000.0
SPELLUSDT,SPELL,USDT,TRADING,1e-07,1000.0,1e-07,1.0,92141578.0,1.0,,921415780000000.0
QKCUSDT,QKC,USDT,TRADING,1e-06,100.0,1e-06,1.0,913205152.0,1.0,,913205152000000.0
